Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
62431-6498,QB,Tom,Tom Brady,Brady,21.752999877929692,20.0,16000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,13.17999979654948,15.0,14000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-32384,WR,Mike,Mike Evans,Evans,12.575,20.0,13000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-55635,WR,Chris,Chris Godwin,Godwin,12.268750190734865,16.0,12500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-52922,RB,Leonard,Leonard Fournette,Fournette,11.987500190734865,16.0,11000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-69304,QB,Kyle,Kyle Trask,Trask,,,10000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.293749809265135,16.0,10000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-63591,RB,Ronald,Ronald Jones II,Jones II,10.952940996955423,17.0,9500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-11612,WR,Antonio,Antonio Brown,Brown,10.075000127156576,12.0,9000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-73575,K,Jose,Jose Borregales,Borregales,,,8500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-22109,K,Greg,Greg Zuerlein,Zuerlein,9.5625,16.0,8000,DAL@TB,DAL,TB,,Back,,,,MVP - 1.5X Points/AnyFLEX
62431-6767,K,Ryan,Ryan Succop,Succop,9.35,20.0,8500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-69956,WR,Michael,Michael Gallup,Gallup,8.987500190734863,16.0,9000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-25290,RB,Giovani,Giovani Bernard,Bernard,8.412500381469728,16.0,7000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-39286,TE,O.J.,O.J. Howard,Howard,8.024999618530272,4.0,6500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-32158,QB,Garrett,Garrett Gilbert,Gilbert,7.760000228881836,2.0,10000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-11460,TE,Rob,Rob Gronkowski,Gronkowski,7.690000152587889,20.0,7500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-63759,RB,Tony,Tony Pollard,Pollard,6.675000190734862,16.0,7500,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-61273,WR,Scotty,Scotty Miller,Miller,5.6944444444444455,18.0,7000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-54782,TE,Cameron,Cameron Brate,Brate,4.982352761661305,17.0,6000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-69581,WR,Cedrick,Cedrick Wilson,Wilson,4.311999893188476,10.0,5500,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-92552,WR,Brennan,Brennan Eagles,Eagles,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-69898,TE,Artayvious,Artayvious Lynn,Lynn,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-89613,WR,Simi,Simi Fehoko,Fehoko,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-69518,WR,T.J.,T.J. Simmons Jr.,Simmons Jr.,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-88213,RB,Brenden,Brenden Knox,Knox,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-68155,TE,Codey,Codey McElroy,McElroy,3.5,1.0,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-73147,TE,Nick,Nick Eubanks,Eubanks,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-92093,WR,Jaelon,Jaelon Darden,Darden,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-71382,WR,Osirus,Osirus Mitchell,Mitchell,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-149717,RB,JaQuan,JaQuan Hardy,Hardy,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-130268,WR,Josh,Josh Pearson,Pearson,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-63586,WR,De'Quan,De'Quan Hampton,Hampton,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-72676,RB,Troymaine,Troymaine Pope,Pope,3.9500000476837163,4.0,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-62566,QB,Travis,Travis Jonsen,Jonsen,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-86125,WR,Brandon,Brandon Smith,Smith,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
62431-14194,QB,Blaine,Blaine Gabbert,Gabbert,3.829999923706055,4.0,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
62431-60788,TE,Nick,Nick Ralston,Ralston,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
