Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
2021-09-10,451,V,Houston,7,0,0,13,20,54,53.5,375,27
2021-09-10,452,H,KansasCity,0,17,7,10,34,9.5,9.5,-450,3.5
2021-09-13,453,V,Miami,0,3,0,8,11,43,41.5,290,20
2021-09-13,454,H,NewEngland,0,7,7,7,21,7,7,-350,3
2021-09-13,455,V,Cleveland,6,0,0,0,6,48.5,47.5,270,22.5
2021-09-13,456,H,Baltimore,10,14,7,7,38,8.5,7,-330,2.5
2021-09-13,457,V,NYJets,0,3,7,7,17,39.5,39,250,19
2021-09-13,458,H,Buffalo,14,7,0,6,27,6,6.5,-300,3
2021-09-13,459,V,LasVegas,7,10,10,7,34,1.5,3,-150,1
2021-09-13,460,H,Carolina,9,6,0,15,30,47,48,130,24
2021-09-13,461,V,Seattle,14,0,14,10,38,49.5,1,-105,25.5
2021-09-13,462,H,Atlanta,3,9,0,13,25,1,49.5,-115,0.5
2021-09-13,463,V,Philadelphia,10,7,0,0,17,6.5,5.5,-230,1.5
2021-09-13,464,H,Washington,0,7,7,13,27,44,41.5,195,20
2021-09-13,465,V,Chicago,3,3,0,21,27,43.5,42.5,110,0.5
2021-09-13,466,H,Detroit,3,10,10,0,23,1,2.5,-130,20.5
2021-09-13,467,V,Indianapolis,7,10,0,3,20,6.5,7,-320,3
2021-09-13,468,H,Jacksonville,0,14,3,10,27,44.5,44,265,23
2021-09-13,469,V,GreenBay,3,19,7,14,43,46,44.5,105,22
2021-09-13,470,H,Minnesota,7,3,0,24,34,3,1.5,-125,3.5
2021-09-13,471,V,LAChargers,0,6,0,10,16,3,2,-130,3.5
2021-09-13,472,H,Cincinnati,7,0,6,0,13,44,41,110,19.5
2021-09-13,473,V,Arizona,7,3,0,14,24,46.5,48.5,250,24
2021-09-13,474,H,SanFrancisco,10,3,0,7,20,7,6.5,-300,3
2021-09-13,475,V,TampaBay,7,0,10,6,23,49.5,48.5,175,0.5
2021-09-13,476,H,NewOrleans,0,17,7,10,34,4,4,-200,24
2021-09-13,477,V,Dallas,0,14,3,0,17,2.5,pk,-110,1
2021-09-13,478,H,LARams,7,6,7,0,20,49.5,52,-110,27
2021-09-14,479,V,Pittsburgh,3,13,0,10,26,3.5,6,-260,2.5
2021-09-14,480,H,NYGiants,3,7,0,6,16,46.5,44,220,21
2021-09-14,481,V,Tennessee,0,7,0,9,16,42,3,-170,3
2021-09-14,482,H,Denver,7,0,0,7,14,1,41,150,21.5
