1st,2nd,3rd,4th,5th
,,RB,QB,WR
QB,,,WR,
QB,WR,WR,,WR
RB,RB,K,,
RB,RB,,,
RB,QB,WR,,K
QB,WR,,WR,
,RB,QB,K,
QB,WR,WR,RB,
QB,RB,,,WR
RB,,,K,
RB,WR,,,
QB,RB,,,K
RB,QB,,WR,
,QB,WR,RB,
WR,WR,,,RB
RB,,,,WR
,,,QB,RB
WR,WR,RB,QB,K
,QB,,,WR
TE,,QB,WR,RB
QB,WR,WR,,
RB,,WR,QB,
QB,,,,
QB,WR,,WR,
,,,RB,K
QB,WR,WR,TE,RB
QB,RB,,,
,RB,K,,
,WR,QB,RB,TE
QB,WR,,,WR
QB,,,,TE
RB,,WR,QB,
QB,WR,,,RB
WR,QB,,,
K,RB,QB,WR,
,,QB,WR,
QB,WR,K,TE,
RB,K,TE,,QB
RB,WR,K,WR,RB
WR,,,,RB
WR,,,QB,RB
RB,WR,QB,,
RB,,,WR,TE
QB,WR,,,WR
TE,QB,K,,RB
,QB,,WR,RB
QB,,,,RB
TE,QB,,K,
QB,,WR,RB,WR
RB,WR,,QB,
WR,QB,RB,,WR
TE,QB,,,
QB,,,RB,
WR,RB,WR,,
QB,WR,RB,K,
,RB,,RB,
WR,QB,RB,,TE
TE,,,QB,
QB,WR,RB,TE,
,RB,QB,,WR
QB,,,,RB
QB,,K,,WR
QB,,WR,,
QB,WR,WR,,
QB,RB,WR,,TE
RB,,WR,,QB
,WR,TE,QB,
,,QB,RB,
RB,QB,WR,,
RB,,QB,,
QB,RB,WR,K,WR
WR,QB,,,
RB,WR,QB,,
,,K,RB,
QB,,WR,,RB
RB,QB,,,
RB,,,K,WR
QB,WR,RB,TE,WR
QB,RB,,,WR
,WR,,RB,QB
QB,,TE,RB,WR
QB,,TE,,WR
QB,,,,TE
,,,ERROR,QB
RB,QB,,,
,QB,WR,,RB
RB,QB,,,K
RB,,QB,WR,
,,,RB,QB
,,QB,RB,WR
QB,,TE,,
WR,QB,RB,TE,
,WR,WR,,
QB,TE,RB,WR,
RB,,,,QB
WR,QB,,WR,
QB,,RB,,K
QB,WR,,WR,RB
QB,,,,K
RB,,,K,
RB,,,,
QB,,,RB,RB
QB,WR,WR,,
RB,QB,,FB,
WR,QB,TE,WR,QB
WR,QB,RB,,RB
QB,K,RB,,
WR,QB,WR,,
RB,QB,WR,WR,
WR,,QB,,
QB,,RB,WR,
RB,,,WR,
,,QB,TE,RB
QB,,WR,,RB
WR,RB,QB,,WR
QB,,RB,,WR
QB,WR,,,TE
QB,RB,,WR,
,,RB,QB,
WR,,QB,,
RB,,QB,,WR
,WR,QB,TE,K
QB,,WR,,RB
QB,,WR,,
QB,TE,WR,RB,WR
,RB,,WR,
WR,QB,,,
,QB,RB,,WR
,QB,,WR,WR
RB,,,,QB
,RB,K,,TE
QB,WR,RB,,
QB,,WR,WR,
,,RB,QB,TE
,QB,WR,,RB
QB,,,RB,
,RB,QB,,
QB,,RB,,WR
QB,,,RB,TE
QB,K,,RB,
QB,WR,,,WR
RB,,WR,,
RB,,RB,,QB
,QB,WR,RB,WR
RB,QB,,K,
QB,,TE,,
QB,,TE,WR,
TE,QB,RB,,
RB,,K,TE,QB
RB,QB,,WR,
,TE,QB,,RB
,QB,,RB,WR
TE,RB,,RB,QB
QB,,WR,K,
,,RB,,K
WR,TE,QB,,
QB,,,,WR
QB,WR,,,
,,QB,,WR
,QB,,WR,K
RB,QB,,,WR
QB,WR,WR,RB,
RB,,,RB,QB
QB,,,,
,QB,RB,,WR
,RB,QB,TE,K
RB,WR,QB,RB,
QB,WR,WR,,
,RB,K,,
RB,,QB,RB,
QB,,RB,RB,WR
TE,QB,RB,,RB
QB,,TE,,
QB,,RB,WR,
,WR,,,RB
RB,,WR,,K
,K,,QB,
RB,,,K,QB
QB,,WR,WR,RB
RB,WR,,,QB
,RB,WR,RB,QB
QB,WR,WR,RB,
WR,QB,,,
,QB,,WR,
RB,,QB,,WR
QB,WR,,RB,
QB,RB,TE,,WR
RB,,QB,,WR
WR,TE,QB,,K
QB,RB,,K,
QB,WR,,WR,K
,QB,RB,,WR
,,QB,WR,RB
QB,RB,WR,TE,
QB,K,WR,RB,
QB,,WR,,RB
RB,,,WR,
WR,,,QB,
RB,,,WR,
QB,RB,WR,,
,QB,WR,,K
,QB,,K,
QB,K,,RB,
QB,TE,,,
RB,WR,WR,QB,RB
K,,WR,,RB
RB,,,QB,
RB,TE,QB,,K
RB,,QB,,TE
QB,TE,RB,,
QB,TE,,WR,
QB,RB,TE,,WR
,QB,,,
K,WR,QB,,RB
QB,,,RB,
QB,WR,RB,TE,
,QB,,TE,
RB,WR,QB,TE,
,QB,,,K
WR,QB,,RB,
QB,,,WR,WR
,WR,K,RB,QB
QB,,RB,,
WR,,,QB,
RB,WR,FB,WR,QB
,QB,,WR,WR
QB,,WR,WR,
,QB,WR,,K
WR,,WR,QB,
,QB,RB,RB,
RB,QB,WR,K,
,QB,,,WR
,,,RB,WR
RB,,,,QB
RB,,,QB,WR
RB,QB,,,
QB,WR,TE,WR,WR
,QB,,RB,
WR,QB,RB,,
QB,,K,WR,
,RB,QB,,
QB,RB,,,
,QB,WR,,
,WR,QB,,
,QB,,WR,WR
RB,QB,TE,,
QB,,WR,WR,
QB,,,WR,
,,,QB,RB
,QB,,WR,K
,QB,WR,,K
QB,RB,WR,TE,WR
,RB,,TE,K
QB,WR,,,
QB,,,WR,
