Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
63853-6654,QB,Matthew,Matthew Stafford,Stafford,16.90999984741211,16,16000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-14225,QB,Andy,Andy Dalton,Dalton,13.12727217240767,11,13500,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-73273,RB,David,David Montgomery,Montgomery,15.056249618530273,16,13000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,8.153333536783855,15,12500,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-29685,WR,Robert,Robert Woods,Woods,12.299999660915798,18,12000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-28643,WR,Allen,Allen Robinson II,Robinson II,12.96470552332261,17,11500,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-79970,WR,Cooper,Cooper Kupp,Kupp,10.78125,16,11000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-69777,WR,Darnell,Darnell Mooney,Mooney,7.599999904632568,16,10000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-91591,QB,Justin,Justin Fields,Fields,,,10000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-53640,RB,Sony,Sony Michel,Michel,7.9777781168619795,9,9500,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-87180,K,Matt,Matt Gay,Gay,8.3,10,9000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-47870,TE,Tyler,Tyler Higbee,Higbee,6.033333248562283,18,8500,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-27441,RB,Damien,Damien Williams,Williams,,,8000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-33714,K,Cairo,Cairo Santos,Santos,8.352941176470589,17,8000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-91047,TE,Cole,Cole Kmet,Kmet,3.406666564941406,15,7500,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-64581,WR,Van,Van Jefferson Jr.,Jefferson Jr.,3.4,15,7500,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-6739,WR,DeSean,DeSean Jackson,Jackson,6.299999872843425,6,7000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-32243,WR,Marquise,Marquise Goodwin,Goodwin,0,1,7000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-11512,TE,Jimmy,Jimmy Graham,Graham,7.5352944766773895,17,6500,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-30678,WR,Damiere,Damiere Byrd,Byrd,6.093333435058594,15,6000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-70133,RB,Jake,Jake Funk,Funk,,,6000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-34295,WR,Breshad,Breshad Perriman,Perriman,7.008333206176758,12,6000,CHI@LAR,CHI,LAR,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
63853-28694,TE,Jesse,Jesse James,James,2.6583333015441895,12,5500,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-92976,WR,Tutu,Tutu Atwell,Atwell,,,5500,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-103896,WR,Nsimba,Nsimba Webster,Webster,-0.125,16,5500,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-56192,QB,John,John Wolford,Wolford,3.799999952316284,4,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-130309,WR,J.J.,J.J. Koski,Koski,0,2,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-22027,QB,Nick,Nick Foles,Foles,12.464444478352865,9,5000,CHI@LAR,CHI,LAR,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
63853-89230,RB,Cam,Cam Akers,Akers,9.266666666666667,15,5000,CHI@LAR,LAR,CHI,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
63853-95893,QB,Devlin,Devlin Hodges,Hodges,0,1,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-72091,RB,Raymond,Raymond Calais,Calais,0,5,5000,CHI@LAR,LAR,CHI,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
63853-71578,RB,Artavis,Artavis Pierce,Pierce,1.8799999237060547,5,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-40371,TE,Johnny,Johnny Mundt,Mundt,2.433333396911621,3,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-71359,WR,Javon,Javon Wims,Wims,1.5727272033691406,11,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-103998,WR,Thomas,Thomas Ives,Ives,0,2,5000,CHI@LAR,CHI,LAR,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
63853-71105,WR,Ben,Ben Skowronek,Skowronek,,,5000,CHI@LAR,LAR,CHI,NA,Forearm,,,,MVP - 1.5X Points/AnyFLEX
63853-55750,WR,Chris,Chris Lacy,Lacy,0,1,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-65607,TE,Jacob,Jacob Harris,Harris,,,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-69325,WR,Riley,Riley Ridley,Ridley,2.1,5,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-63697,TE,Brycen,Brycen Hopkins,Hopkins,0,2,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-55895,TE,Kendall,Kendall Blanton,Blanton,0,2,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-55514,RB,Buddy,Buddy Howell,Howell,2.3999999364217124,3,5000,CHI@LAR,LAR,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
63853-72412,RB,Khalil,Khalil Herbert,Herbert,,,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-63201,RB,Xavier,Xavier Jones,Jones,0,3,5000,CHI@LAR,LAR,CHI,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
63853-40674,WR,Jester,Jester Weah,Weah,0,1,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-130274,WR,Isaiah,Isaiah Coulter,Coulter,,,5000,CHI@LAR,CHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
63853-104421,TE,Jesper,Jesper Horsted,Horsted,0,2,5000,CHI@LAR,CHI,LAR,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
