Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
63954-63519,QB,Daniel,Daniel Jones,Jones,21.3799991607666,1,15000,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
63954-64401,RB,Saquon,Saquon Barkley,Barkley,3.200000047683716,1,14000,NYG@WAS,NYG,WAS,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
63954-54244,WR,Kenny,Kenny Golladay,Golladay,8.399999618530273,1,10500,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
63954-27477,WR,Sterling,Sterling Shepard,Shepard,20.799999237060547,1,11500,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
63954-63819,WR,Darius,Darius Slayton,Slayton,8,1,9000,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
63954-14237,TE,Kyle,Kyle Rudolph,Rudolph,1.7999999523162842,1,7000,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
63954-10744,K,Graham,Graham Gano,Gano,1,1,8500,NYG@WAS,NYG,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
63954-53331,QB,Taylor,Taylor Heinicke,Heinicke,10.579999923706055,1,14500,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
63954-90933,RB,Antonio,Antonio Gibson,Gibson,10.300000190734863,1,12500,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
63954-56250,WR,Terry,Terry McLaurin,McLaurin,8.199999809265137,1,12000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
63954-26355,TE,Logan,Logan Thomas,Thomas,10.5,1,10000,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
63954-24912,K,Dustin,Dustin Hopkins,Hopkins,12,1,9500,NYG@WAS,WAS,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
