Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64101-89951,QB,Trevor,Trevor Lawrence,Lawrence,22.079999923706055,1,15500,DEN@JAC,JAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
64101-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,20.459999084472656,1,15000,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64101-28900,RB,Melvin,Melvin Gordon III,Gordon III,19.299999237060547,1,13500,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64101-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,16.200000762939453,1,12500,DEN@JAC,JAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
64101-130288,RB,James,James Robinson,Robinson,6.900000095367432,1,12500,DEN@JAC,JAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
64101-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,16.100000381469727,1,12000,DEN@JAC,JAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
64101-57403,WR,Courtland,Courtland Sutton,Sutton,1.899999976158142,1,11500,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64101-87859,WR,Laviska,Laviska Shenault Jr.,Shenault Jr.,9.399999618530273,1,10000,DEN@JAC,JAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
64101-64051,QB,Drew,Drew Lock,Lock,15.101539024939903,13,10000,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64101-28473,RB,Carlos,Carlos Hyde,Hyde,6.800000190734863,1,10000,DEN@JAC,JAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
64101-93541,RB,Javonte,Javonte Williams,Williams,4.599999904632568,1,10000,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64101-57091,WR,Tim,Tim Patrick,Patrick,11.899999618530273,1,9500,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64101-90561,WR,Jerry,Jerry Jeudy,Jeudy,10.199999809265137,1,9500,DEN@JAC,DEN,JAC,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64101-26247,K,Brandon,Brandon McManus,McManus,9,1,9000,DEN@JAC,DEN,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
