Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64091-45859,QB,Derek,Derek Carr,Carr,25,1,15500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,12.020000457763672,1,15000,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-25011,TE,Darren,Darren Waller,Waller,21.5,1,13000,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-72731,RB,Josh,Josh Jacobs,Jacobs,16.5,1,12500,LV@PIT,LV,PIT,O,Toe,,,,MVP - 1.5X Points/AnyFLEX
64091-90575,RB,Najee,Najee Harris,Harris,5.400000095367432,1,12000,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-66008,WR,Diontae,Diontae Johnson,Johnson,12.100000381469727,1,11500,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,7.199999809265137,1,11000,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-73111,WR,Chase,Chase Claypool,Claypool,8.5,1,10500,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-90537,WR,Henry,Henry Ruggs III,Ruggs III,5.599999904632568,1,9500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-40856,K,Daniel,Daniel Carlson,Carlson,11,1,9000,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-32058,K,Chris,Chris Boswell,Boswell,12,1,9000,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-30989,RB,Kenyan,Kenyan Drake,Drake,9.5,1,8500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-70546,K,Sam,Sam Sloman,Sloman,6.875,8,8500,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-57986,WR,Hunter,Hunter Renfrow,Renfrow,10,1,7500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-69276,WR,Bryan,Bryan Edwards,Edwards,10.100000381469727,1,7500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-25272,TE,Eric,Eric Ebron,Ebron,2.4000000953674316,1,7500,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-55748,WR,James,James Washington,Washington,2,1,7000,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-44449,WR,Willie,Willie Snead IV,Snead IV,0,1,6500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-70889,RB,Benny,Benny Snell Jr.,Snell Jr.,4.506249904632568,16,6500,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-41305,WR,Zay,Zay Jones,Jones,11.600000381469727,1,6000,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-86244,TE,Pat,Pat Freiermuth,Freiermuth,2.9000000953674316,1,6000,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-52371,RB,Kalen,Kalen Ballage,Ballage,6.616666793823242,12,5500,LV@PIT,PIT,LV,,,,,,MVP - 1.5X Points/AnyFLEX
64091-40857,RB,Peyton,Peyton Barber,Barber,3.7857142857142856,14,5500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
64091-60712,TE,Foster,Foster Moreau,Moreau,4.214285714285714,7,5500,LV@PIT,LV,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
