Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64243-6894,QB,Aaron,Aaron Rodgers,Rodgers,3.319999933242798,1,16000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-45889,WR,Davante,Davante Adams,Adams,8.100000381469727,1,15000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-38435,QB,Jared,Jared Goff,Goff,29.920000076293945,1,14500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-40442,RB,Aaron,Aaron Jones,Jones,3.200000047683716,1,12500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-91598,RB,D'Andre,D'Andre Swift,Swift,20.399999618530273,1,12000,DET@GB,DET,GB,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
64243-71706,TE,T.J.,T.J. Hockenson,Hockenson,21.700000762939453,1,11000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-45631,RB,Jamaal,Jamaal Williams,Williams,21,1,10500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-80353,TE,Robert,Robert Tonyan,Tonyan,1.7999999523162842,1,10000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-62535,WR,Tyrell,Tyrell Williams,Williams,2.4000000953674316,1,9500,DET@GB,DET,GB,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
64243-6897,K,Mason,Mason Crosby,Crosby,3,1,9000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-56809,WR,Allen,Allen Lazard,Lazard,2.5999999046325684,1,8500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-60914,K,Austin,Austin Seibert,Seibert,6,1,8500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-70422,WR,Kalif,Kalif Raymond,Raymond,7.400000095367432,1,8000,DET@GB,DET,GB,Q,Thigh,,,,MVP - 1.5X Points/AnyFLEX
64243-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,3.200000047683716,1,8000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-71957,WR,Quintez,Quintez Cephus,Cephus,10.699999809265137,1,7500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,3.299999952316284,1,7500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-69017,QB,Jordan,Jordan Love,Love,0.7200000286102295,1,7000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-93107,RB,AJ,AJ Dillon,Dillon,3.0999999046325684,1,7000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-14257,WR,Randall,Randall Cobb,Cobb,3.799999952316284,1,6500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-103943,WR,Trinity,Trinity Benson,Benson,3.4000000953674316,1,6000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-89970,WR,Amari,Amari Rodgers,Rodgers,2.4000000953674316,1,6000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-6672,TE,Marcedes,Marcedes Lewis,Lewis,2.4000000953674316,1,5500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-38301,TE,Darren,Darren Fells,Fells,0.699999988079071,1,5500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-91225,RB,Kylin,Kylin Hill,Hill,1.399999976158142,1,5500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-104289,WR,Malik,Malik Taylor,Taylor,2.4000000953674316,1,5500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-34308,QB,Blake,Blake Bortles,Bortles,0,1,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-55940,WR,Chad,Chad Hansen,Hansen,7.619999694824219,5,5000,DET@GB,DET,GB,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64243-62998,TE,Jace,Jace Sternberger,Sternberger,2.924999952316284,8,5000,DET@GB,GB,DET,IR,Suspension,,,,MVP - 1.5X Points/AnyFLEX
64243-86295,RB,Michael,Michael Warren,Warren,0,2,5000,DET@GB,DET,GB,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64243-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-130335,WR,Reggie,Reggie Begelton,Begelton,,,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-40482,QB,Tim,Tim Boyle,Boyle,-0.11249999701976776,8,5000,DET@GB,DET,GB,IR,Thumb,,,,MVP - 1.5X Points/AnyFLEX
64243-86178,WR,Dominique,Dominique Dafney,Dafney,2.4000000953674316,4,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-25513,WR,Darius,Darius Jennings,Jennings,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-28080,WR,Devin,Devin Funchess,Funchess,,,5000,DET@GB,GB,DET,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
64243-72627,RB,Patrick,Patrick Taylor,Taylor,,,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-61112,TE,Josiah,Josiah Deguara,Deguara,1.7000000476837158,1,5000,DET@GB,GB,DET,D,Concussion,,,,MVP - 1.5X Points/AnyFLEX
64243-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.9375,8,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-60861,WR,Damion,Damion Ratley,Ratley,1.3833333651224773,6,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-104388,WR,Tom,Tom Kennedy,Kennedy,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-64841,WR,Equanimeous,Equanimeous St. Brown,St. Brown,2.660000038146973,10,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-56142,WR,Juwann,Juwann Winfree,Winfree,,,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
