Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64243-6894,QB,Aaron,Aaron Rodgers,Rodgers,3.319999933242798,1,16000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-40442,RB,Aaron,Aaron Jones,Jones,3.200000047683716,1,12500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-93107,RB,AJ,AJ Dillon,Dillon,3.0999999046325684,1,7000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-45889,WR,Davante,Davante Adams,Adams,8.100000381469727,1,15000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,3.200000047683716,1,8000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-56809,WR,Allen,Allen Lazard,Lazard,2.5999999046325684,1,8500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-14257,WR,Randall,Randall Cobb,Cobb,3.799999952316284,1,6500,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-80353,TE,Robert,Robert Tonyan,Tonyan,1.7999999523162842,1,10000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-6897,K,Mason,Mason Crosby,Crosby,3,1,9000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64243-38435,QB,Jared,Jared Goff,Goff,29.920000076293945,1,14500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-91598,RB,D'Andre,D'Andre Swift,Swift,20.399999618530273,1,12000,DET@GB,DET,GB,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
64243-45631,RB,Jamaal,Jamaal Williams,Williams,21,1,10500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-70422,WR,Kalif,Kalif Raymond,Raymond,7.400000095367432,1,8000,DET@GB,DET,GB,Q,Thigh,,,,MVP - 1.5X Points/AnyFLEX
64243-71957,WR,Quintez,Quintez Cephus,Cephus,10.699999809265137,1,7500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,3.299999952316284,1,7500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-103943,WR,Trinity,Trinity Benson,Benson,3.4000000953674316,1,6000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-71706,TE,T.J.,T.J. Hockenson,Hockenson,21.700000762939453,1,11000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64243-60914,K,Austin,Austin Seibert,Seibert,6,1,8500,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
