Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64336-63484,QB,Kyler,Kyler Murray,Murray,34.83000183105469,2,17000,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-89951,QB,Trevor,Trevor Lawrence,Lawrence,15.449999809265137,2,14000,ARI@JAC,JAC,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
64336-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,18.350000381469727,2,13000,ARI@JAC,ARI,JAC,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
64336-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,15.350000381469727,2,12500,ARI@JAC,JAC,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
64336-93408,WR,Rondale,Rondale Moore,Moore,14.850000381469727,2,11500,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-60858,WR,Christian,Christian Kirk,Kirk,14.75,2,11000,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-83081,RB,Chase,Chase Edmonds,Edmonds,11.300000190734863,2,10500,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,9.25,2,10500,ARI@JAC,JAC,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
64336-130288,RB,James,James Robinson,Robinson,7.400000095367432,2,10000,ARI@JAC,JAC,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
64336-6782,K,Matt,Matt Prater,Prater,10,2,9500,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-40687,RB,James,James Conner,Conner,3.950000047683716,2,9000,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-87859,WR,Laviska,Laviska Shenault Jr.,Shenault Jr.,5.050000190734863,2,8500,ARI@JAC,JAC,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
64336-14187,WR,A.J.,A.J. Green,Green,7.699999809265137,2,8500,ARI@JAC,ARI,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
64336-32429,K,Josh,Josh Lambo,Lambo,2,2,8000,ARI@JAC,JAC,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
