Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64334-63519,QB,Daniel,Daniel Jones,Jones,25.420000076293945,2,16000,ATL@NYG,NYG,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
64334-6616,QB,Matt,Matt Ryan,Ryan,13.329999923706055,2,15000,ATL@NYG,ATL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
64334-64401,RB,Saquon,Saquon Barkley,Barkley,5.550000190734863,2,14000,ATL@NYG,NYG,ATL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
64334-64555,WR,Calvin,Calvin Ridley,Ridley,11.699999809265137,2,13500,ATL@NYG,ATL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
64334-27477,WR,Sterling,Sterling Shepard,Shepard,16.899999618530273,2,12500,ATL@NYG,NYG,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
64334-86080,TE,Kyle,Kyle Pitts,Pitts,7.449999809265137,2,11000,ATL@NYG,ATL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
64334-54244,WR,Kenny,Kenny Golladay,Golladay,6.849999904632568,2,10500,ATL@NYG,NYG,ATL,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
64334-30733,WR,Cordarrelle,Cordarrelle Patterson,Patterson,14.550000190734863,2,10000,ATL@NYG,ATL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
64334-30635,RB,Mike,Mike Davis,Davis,9.25,2,9500,ATL@NYG,ATL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
64334-10744,K,Graham,Graham Gano,Gano,11.5,2,9500,ATL@NYG,NYG,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
64334-63819,WR,Darius,Darius Slayton,Slayton,10.449999809265137,2,9000,ATL@NYG,NYG,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
64334-53212,K,Younghoe,Younghoe Koo,Koo,5.5,2,9000,ATL@NYG,ATL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
64334-52916,WR,Russell,Russell Gage,Gage,2.6500000953674316,2,8500,ATL@NYG,ATL,NYG,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64334-41872,TE,Evan,Evan Engram,Engram,6.84375,16,7500,ATL@NYG,NYG,ATL,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
64334-39580,RB,Devontae,Devontae Booker,Booker,1.7000000476837158,2,7500,ATL@NYG,NYG,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
