Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64339-63115,QB,Lamar,Lamar Jackson,Jackson,26.1299991607666,2,17000,BAL@DET,BAL,DET,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
64339-38435,QB,Jared,Jared Goff,Goff,24.68000030517578,2,15000,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-91598,RB,D'Andre,D'Andre Swift,Swift,15.100000381469727,2,12500,BAL@DET,DET,BAL,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
64339-60977,RB,Ty'Son,Ty'Son Williams,Williams,13.600000381469727,2,12000,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-86687,WR,Marquise,Marquise Brown,Brown,18.350000381469727,2,11500,BAL@DET,BAL,DET,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64339-71706,TE,T.J.,T.J. Hockenson,Hockenson,19.149999618530273,2,11000,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-45631,RB,Jamaal,Jamaal Williams,Williams,13.100000381469727,2,10500,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-52436,TE,Mark,Mark Andrews,Andrews,5.849999904632568,2,10500,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-23045,K,Justin,Justin Tucker,Tucker,9,2,9500,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-34331,RB,Latavius,Latavius Murray,Murray,9.199999809265137,2,9500,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-60914,K,Austin,Austin Seibert,Seibert,6,2,9000,BAL@DET,DET,BAL,IR,Illness,,,,MVP - 1.5X Points/AnyFLEX
64339-62535,WR,Tyrell,Tyrell Williams,Williams,2.4000000953674316,1,8500,BAL@DET,DET,BAL,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
64339-70422,WR,Kalif,Kalif Raymond,Raymond,5.099999904632568,2,8000,BAL@DET,DET,BAL,Q,Thigh,,,,MVP - 1.5X Points/AnyFLEX
64339-24641,WR,Sammy,Sammy Watkins,Watkins,9,2,8000,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-71957,WR,Quintez,Quintez Cephus,Cephus,12.5,2,7500,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,3.299999952316284,2,7500,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-71032,WR,Devin,Devin Duvernay,Duvernay,3.549999952316284,2,7000,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-24920,RB,Devonta,Devonta Freeman,Freeman,2.9000000953674316,1,6500,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-103943,WR,Trinity,Trinity Benson,Benson,3.1500000953674316,2,6000,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-28181,RB,Le'Veon,Le'Veon Bell,Bell,5.169230534480168,13,6000,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-38301,TE,Darren,Darren Fells,Fells,0.699999988079071,1,5500,BAL@DET,DET,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64339-63907,TE,Josh,Josh Oliver,Oliver,0.699999988079071,2,5500,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-55940,WR,Chad,Chad Hansen,Hansen,7.619999694824219,5,5000,BAL@DET,DET,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64339-62981,TE,Eli,Eli Wolf,Wolf,0,1,5000,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-65798,WR,Siaosi,Siaosi Mariner,Mariner,,,5000,BAL@DET,BAL,DET,,,,,,MVP - 1.5X Points/AnyFLEX
64339-86295,RB,Michael,Michael Warren,Warren,0,2,5000,BAL@DET,DET,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
