Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64342-41535,QB,Baker,Baker Mayfield,Mayfield,16.079999923706055,2,16000,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-53562,RB,Nick,Nick Chubb,Chubb,18.700000762939453,2,14000,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-91591,QB,Justin,Justin Fields,Fields,5.599999904632568,2,14000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-14225,QB,Andy,Andy Dalton,Dalton,7.639999866485596,2,13500,CHI@CLE,CHI,CLE,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
64342-73273,RB,David,David Montgomery,Montgomery,13.850000381469727,2,13500,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-28643,WR,Allen,Allen Robinson II,Robinson II,7.949999809265137,2,12000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-31394,WR,Jarvis,Jarvis Landry,Landry,9.149999618530273,2,11000,CHI@CLE,CLE,CHI,IR,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
64342-45229,RB,Kareem,Kareem Hunt,Hunt,10.699999809265137,2,10500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,10.75999995640346,7,10000,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-69777,WR,Darnell,Darnell Mooney,Mooney,7.349999904632568,2,10000,CHI@CLE,CHI,CLE,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
64342-31280,K,Cody,Cody Parkey,Parkey,7.529411764705882,17,8500,CHI@CLE,CLE,CHI,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
64342-60479,K,Chase,Chase McLaughlin,McLaughlin,5,2,8500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-33714,K,Cairo,Cairo Santos,Santos,5,2,8000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-40126,TE,Austin,Austin Hooper,Hooper,5.349999904632568,2,8000,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-55335,TE,David,David Njoku,Njoku,5.949999809265137,2,7500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-32243,WR,Marquise,Marquise Goodwin,Goodwin,3.9000000953674316,2,7500,CHI@CLE,CHI,CLE,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64342-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,0.4000000059604645,2,7000,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-91047,TE,Cole,Cole Kmet,Kmet,3.5999999046325684,2,7000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-27441,RB,Damien,Damien Williams,Williams,3.700000047683716,2,7000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-70601,TE,Harrison,Harrison Bryant,Bryant,4.550000190734863,2,6500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-45791,WR,Rashard,Rashard Higgins,Higgins,3.700000047683716,1,6500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-30678,WR,Damiere,Damiere Byrd,Byrd,3.4000000953674316,1,6000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-11512,TE,Jimmy,Jimmy Graham,Graham,1.600000023841858,1,6000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
64342-27273,RB,Andy,Andy Janovich,Janovich,3,2,5500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-70282,RB,Demetric,Demetric Felton,Felton,6.050000190734863,2,5500,CHI@CLE,CLE,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
64342-22027,QB,Nick,Nick Foles,Foles,12.464444478352865,9,5000,CHI@CLE,CHI,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
