Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64424-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.0600004196167,2,16000,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-40442,RB1,Aaron,Aaron Jones,Jones,20.850000381469727,2,13000,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-45889,WR1,Davante,Davante Adams,Adams,12.100000381469727,2,14000,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-56809,WR2,Allen,Allen Lazard,Lazard,2.5999999046325684,1,8000,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-40647,WR3,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,1.600000023841858,2,7500,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-80353,TE1,Robert,Robert Tonyan,Tonyan,7.25,2,10000,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-6897,K,Mason,Mason Crosby,Crosby,4,2,9000,GB@SF,GB,SF,,,,,,MVP - 1.5X Points/AnyFLEX
64424-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,17.15999984741211,2,13000,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-86646,RB1,Trey,Trey Sermon,Sermon,0.800000011920929,1,8500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-83091,RB2,Trenton,Trenton Cannon,Cannon,0.20000000298023224,2,7500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-56018,WR1,Deebo,Deebo Samuel,Samuel,20.25,2,13500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-85798,WR2,Brandon,Brandon Aiyuk,Aiyuk,0.550000011920929,2,9500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-22018,WR3,Mohamed,Mohamed Sanu,Sanu,0.6000000238418579,2,6500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-56059,WR4,Trent,Trent Sherfield,Sherfield,5.349999904632568,2,6000,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-39793,TE1,George,George Kittle,Kittle,6.75,2,11500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX
64424-6910,K,Robbie,Robbie Gould,Gould,10,2,9500,GB@SF,SF,GB,,,,,,MVP - 1.5X Points/AnyFLEX









