Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64335-21948,QB,Ryan,Ryan Tannehill,Tannehill,14.880000114440918,2,15500,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-39280,RB,Derrick,Derrick Henry,Henry,26.950000762939453,2,15000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-70324,QB,Carson,Carson Wentz,Wentz,18.459999084472656,2,14500,IND@TEN,IND,TEN,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64335-89675,RB,Jonathan,Jonathan Taylor,Taylor,10.199999809265137,2,13500,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-69333,QB,Jacob,Jacob Eason,Eason,0,1,13000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-72846,WR,A.J.,A.J. Brown,Brown,9.350000381469727,2,12500,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-14190,WR,Julio,Julio Jones,Jones,10.100000381469727,2,12000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-53390,WR,Zach,Zach Pascal,Pascal,15.300000190734863,2,11500,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,10.350000381469727,2,11000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-22031,WR,T.Y.,T.Y. Hilton,Hilton,8.774999618530273,16,10000,IND@TEN,IND,TEN,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX
64335-39859,TE,Jack,Jack Doyle,Doyle,7.25,2,9500,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-63791,K,Rodrigo,Rodrigo Blankenship,Blankenship,8,2,9000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-55145,K,Michael,Michael Badgley,Badgley,1,1,9000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-63625,RB,Nyheim,Nyheim Hines,Hines,6.949999809265137,2,8500,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-56262,WR,Parris,Parris Campbell,Campbell,2.9000000953674316,1,8000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-80294,TE,Anthony,Anthony Firkser,Firkser,3.4000000953674316,1,7500,IND@TEN,TEN,IND,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
64335-56648,RB,Jeremy,Jeremy McNichols,McNichols,4.599999904632568,2,7000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,1.149999976158142,2,7000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-70372,WR,Chester,Chester Rogers,Rogers,5.699999809265137,2,7000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-62505,TE,MyCole,MyCole Pruitt,Pruitt,5.800000190734863,1,6500,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-57909,RB,Marlon,Marlon Mack,Mack,1.600000023841858,1,6500,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-57432,WR,Cameron,Cameron Batson,Batson,2.5100000381469725,10,6500,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-53097,WR,Josh,Josh Reynolds,Reynolds,6.252941355985754,17,6000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-149710,WR,Mike,Mike Strachan,Strachan,1.7999999523162842,2,5500,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-38523,TE,Geoff,Geoff Swaim,Swaim,1,2,5500,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.2999999523162842,2,5000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-69383,WR,Dezmon,Dezmon Patmon,Patmon,0,1,5000,IND@TEN,IND,TEN,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
64335-41867,RB,Jordan,Jordan Wilkins,Wilkins,4.608333269755046,12,5000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-72718,RB,Benny,Benny LeMay,LeMay,0,1,5000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-69271,K,Tucker,Tucker McCann,McCann,,,5000,IND@TEN,TEN,IND,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64335-53913,WR,Cody,Cody Hollister,Hollister,1.7000000476837158,1,5000,IND@TEN,TEN,IND,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64335-86173,RB,Mekhi,Mekhi Sargent,Sargent,0.20000000298023224,1,5000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
64335-130334,QB,Jalen,Jalen Morton,Morton,,,5000,IND@TEN,IND,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
64335-29605,QB,Matt,Matt Barkley,Barkley,2.569999933242798,4,5000,IND@TEN,TEN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
