Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64340-24849,QB,Jameis,Jameis Winston,Winston,19.979999542236328,2,15500,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-90584,QB,Mac,Mac Jones,Jones,11.34000015258789,2,14500,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-42104,RB,Alvin,Alvin Kamara,Kamara,10.800000190734863,2,14000,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-64576,RB,Damien,Damien Harris,Harris,11.800000190734863,2,13000,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-28930,RB,James,James White,White,12.300000190734863,2,12000,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-63634,WR,Jakobi,Jakobi Meyers,Meyers,6.599999904632568,2,11500,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-29683,WR,Nelson,Nelson Agholor,Agholor,9.649999618530273,2,11000,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-28573,WR,Michael,Michael Thomas,Thomas,8.855555216471354,9,10000,NO@NE,NO,NE,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64340-71246,WR,Marquez,Marquez Callaway,Callaway,1.850000023841858,2,10000,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-6642,K,Nick,Nick Folk,Folk,13,2,9000,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-73081,K,Quinn,Quinn Nordin,Nordin,,,9000,NO@NE,NE,NO,IR,Abdomen,,,,MVP - 1.5X Points/AnyFLEX
64340-70496,K,Aldrick,Aldrick Rosas,Rosas,5,2,8500,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-48116,TE,Jonnu,Jonnu Smith,Smith,6.050000190734863,2,8500,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-48380,K,Wil,Wil Lutz,Lutz,8.166666666666666,18,8500,NO@NE,NO,NE,IR,Abdomen,,,,MVP - 1.5X Points/AnyFLEX
64340-40845,TE,Hunter,Hunter Henry,Henry,4.900000095367432,2,8000,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,7.721428462437221,14,8000,NO@NE,NO,NE,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
64340-104176,WR,Deonte,Deonte Harris,Harris,7.849999904632568,2,7500,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-45565,QB,Taysom,Taysom Hill,Hill,0.9100000262260437,2,7500,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-64808,TE,Juwan,Juwan Johnson,Johnson,9.199999809265137,2,7000,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-130270,TE,Adam,Adam Trautman,Trautman,3.299999952316284,1,7000,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-80289,WR,Kendrick,Kendrick Bourne,Bourne,2.9000000953674316,2,6500,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
64340-14704,WR,Chris,Chris Hogan,Hogan,4.800000190734863,2,6500,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-73121,RB,Tony,Tony Jones Jr.,Jones Jr.,3.25,2,6000,NO@NE,NO,NE,,,,,,MVP - 1.5X Points/AnyFLEX
64340-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,-0.4000000059604645,1,6000,NO@NE,NE,NO,,,,,,MVP - 1.5X Points/AnyFLEX
