Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64361-22015,QB,Russell,Russell Wilson,Wilson,25.190000534057617,2,16000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-22038,QB,Kirk,Kirk Cousins,Cousins,23.649999618530273,2,15500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-54140,RB,Dalvin,Dalvin Cook,Cook,16.600000381469727,2,15000,SEA@MIN,MIN,SEA,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64361-27050,WR,Tyler,Tyler Lockett,Lockett,25.899999618530273,2,14000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-39716,WR,Adam,Adam Thielen,Thielen,19.299999237060547,2,12500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-85671,WR,Justin,Justin Jefferson,Jefferson,12.770000457763672,2,12000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-64119,RB,Chris,Chris Carson,Carson,13.149999618530273,2,11500,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-73048,WR,DK,DK Metcalf,Metcalf,11.149999618530273,2,11000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-63855,WR,K.J.,K.J. Osborn,Osborn,14.350000381469727,2,10000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-60745,K,Jason,Jason Myers,Myers,5,2,9000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-55515,K,Greg,Greg Joseph,Joseph,10.5,2,9000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-14952,K,Dan,Dan Bailey,Bailey,5.625,16,8500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-57299,TE,Gerald,Gerald Everett,Everett,4.900000095367432,2,8000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-60451,TE,Tyler,Tyler Conklin,Conklin,4.300000190734863,2,7000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-69303,WR,Freddie,Freddie Swain,Swain,9.5,2,7000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-57840,RB,Rashaad,Rashaad Penny,Penny,0.800000011920929,1,7000,SEA@MIN,SEA,MIN,O,Calf,,,,MVP - 1.5X Points/AnyFLEX
64361-56708,TE,Will,Will Dissly,Dissly,5.199999809265137,1,6500,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-72776,RB,Alexander,Alexander Mattison,Mattison,2.200000047683716,2,6500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-60910,WR,Dede,Dede Westbrook,Westbrook,0.800000011920929,2,6500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-55336,TE,Chris,Chris Herndon,Herndon,0,1,6000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-72182,WR,Dee,Dee Eskridge,Eskridge,3.299999952316284,1,6000,SEA@MIN,SEA,MIN,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
64361-55689,RB,Ito,Ito Smith,Smith,3.2533332824707033,15,5500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-40843,RB,Alex,Alex Collins,Collins,2.5,1,5500,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0,2,5500,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-29445,QB,Sean,Sean Mannion,Mannion,,,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-64901,RB,Cameron,Cameron Scarlett,Scarlett,,,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-94087,RB,DeeJay,DeeJay Dallas,Dallas,0.75,2,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-43912,WR,Chad,Chad Beebe,Beebe,3.6454544067382812,11,5000,SEA@MIN,MIN,SEA,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
64361-47249,WR,Darvin,Darvin Kidsy,Kidsy,0,1,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,6.958333333333333,12,5000,SEA@MIN,MIN,SEA,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
64361-64405,WR,Dan,Dan Chisena,Chisena,,,5000,SEA@MIN,MIN,SEA,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64361-71444,RB,Travis,Travis Homer,Homer,1.2000000476837158,2,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-71710,QB,Nate,Nate Stanley,Stanley,,,5000,SEA@MIN,MIN,SEA,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64361-91945,TE,Cam,Cam Sutton,Sutton,0,2,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-72493,WR,Trishton,Trishton Jackson,Jackson,0,2,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-60849,WR,Blake,Blake Lynch,Lynch,,,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-38837,QB,Danny,Danny Etling,Etling,0,1,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-60983,WR,Anthony,Anthony Ratliff-Williams,Ratliff-Williams,,,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-60984,TE,Jake,Jake Bargas,Bargas,,,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-61631,WR,Olabisi,Olabisi Johnson,Johnson,3.487499952316284,8,5000,SEA@MIN,MIN,SEA,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
64361-52929,QB,Jake,Jake Luton,Luton,6.851999664306641,5,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-94797,QB,Kellen,Kellen Mond,Mond,,,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-71756,WR,Aaron,Aaron Fuller,Fuller,0,1,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-63447,WR,Penny,Penny Hart,Hart,1.350000023841858,2,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-27229,RB,Ameer,Ameer Abdullah,Abdullah,1.4500000476837158,2,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-103900,TE,Brandon,Brandon Dillon,Dillon,1.100000023841858,1,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-63839,TE,Tyler,Tyler Mabry,Mabry,0,1,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-63586,WR,De'Quan,De'Quan Hampton,Hampton,,,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-14820,RB,Nick,Nick Bellore,Bellore,0.6333333253860474,3,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-70501,RB,C.J.,C.J. Ham,Ham,1.899999976158142,1,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-54507,QB,Alex,Alex McGough,McGough,,,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-65518,WR,John,John Ursua,Ursua,0,1,5000,SEA@MIN,SEA,MIN,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
64361-130286,TE,Ben,Ben Ellefson,Ellefson,0.875,4,5000,SEA@MIN,MIN,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
64361-26483,QB,Geno,Geno Smith,Smith,0.5600000023841858,2,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-89588,TE,Colby,Colby Parkinson,Parkinson,1.2999999523162842,2,5000,SEA@MIN,SEA,MIN,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
64361-55414,WR,Cody,Cody Thompson,Thompson,0,1,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
64361-87422,TE,Dom,Dom Wood-Anderson,Wood-Anderson,0,1,5000,SEA@MIN,SEA,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
