Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64360-6498,QB,Tom,Tom Brady,Brady,29.399999618530273,2,16000,TB@LAR,TB,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
64360-6654,QB,Matthew,Matthew Stafford,Stafford,21.280000686645508,2,15000,TB@LAR,LAR,TB,,,,,,MVP - 1.5X Points/AnyFLEX
64360-79970,WR,Cooper,Cooper Kupp,Kupp,26.299999237060547,2,14000,TB@LAR,LAR,TB,,,,,,MVP - 1.5X Points/AnyFLEX
64360-55635,WR,Chris,Chris Godwin,Godwin,16.600000381469727,2,13000,TB@LAR,TB,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
64360-32384,WR,Mike,Mike Evans,Evans,12.949999809265137,2,12500,TB@LAR,TB,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
64360-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,15.449999809265137,2,12500,TB@LAR,LAR,TB,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
64360-11460,TE,Rob,Rob Gronkowski,Gronkowski,21.450000762939453,2,10500,TB@LAR,TB,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
64360-29685,WR,Robert,Robert Woods,Woods,10.199999809265137,2,10500,TB@LAR,LAR,TB,,,,,,MVP - 1.5X Points/AnyFLEX
64360-11612,WR,Antonio,Antonio Brown,Brown,11.699999809265137,2,10000,TB@LAR,TB,LAR,IR,Illness,,,,MVP - 1.5X Points/AnyFLEX
64360-53640,RB,Sony,Sony Michel,Michel,2.4000000953674316,2,9500,TB@LAR,LAR,TB,,,,,,MVP - 1.5X Points/AnyFLEX
64360-52922,RB,Leonard,Leonard Fournette,Fournette,9,2,9500,TB@LAR,TB,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
