Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64343-62239,QB,Josh,Josh Allen,Allen,17.43000030517578,2,17000,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-53331,QB,Taylor,Taylor Heinicke,Heinicke,15.8100004196167,2,14500,WAS@BUF,WAS,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
64343-25079,WR,Stefon,Stefon Diggs,Diggs,12.699999809265137,2,14000,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-56250,WR,Terry,Terry McLaurin,McLaurin,15.199999809265137,2,13000,WAS@BUF,WAS,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
64343-90933,RB,Antonio,Antonio Gibson,Gibson,9.300000190734863,2,12500,WAS@BUF,WAS,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
64343-70603,RB,Devin,Devin Singletary,Singletary,12.800000190734863,2,11000,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-26355,TE,Logan,Logan Thomas,Thomas,8.75,2,10500,WAS@BUF,WAS,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
64343-22288,WR,Cole,Cole Beasley,Beasley,7.800000190734863,2,10000,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-65128,K,Tyler,Tyler Bass,Bass,8,2,9500,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-70027,RB,Zack,Zack Moss,Moss,14.399999618530273,1,9000,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-69307,K,Eddy,Eddy Pineiro,Pineiro,0,2,9000,WAS@BUF,WAS,BUF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64343-24912,K,Dustin,Dustin Hopkins,Hopkins,13,2,9000,WAS@BUF,WAS,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
64343-43334,RB,J.D.,J.D. McKissic,McKissic,9.300000190734863,2,8500,WAS@BUF,WAS,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
64343-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,6.5,2,8500,WAS@BUF,BUF,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
64343-52613,WR,Curtis,Curtis Samuel,Samuel,10.850000381469727,16,8000,WAS@BUF,WAS,BUF,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
