Name1,Name2,Name3,Name4,Name5,Salary,FPPG
Dak Prescott,Tom Brady,Leonard Fournette,Ronald Jones II,Greg Zuerlein,60000,100.63594086216945
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Antonio Brown,60000,100.45469060785629
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Greg Zuerlein,59000,99.94219048069972
Dak Prescott,Tom Brady,Leonard Fournette,Antonio Brown,Greg Zuerlein,59500,99.7579999923706
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Ryan Succop,59500,99.72969048069972
Dak Prescott,Tom Brady,Leonard Fournette,Antonio Brown,Ryan Succop,60000,99.5454999923706
Dak Prescott,Tom Brady,Leonard Fournette,CeeDee Lamb,O.J. Howard,59000,99.43924929300944
Dak Prescott,Tom Brady,Chris Godwin,Ronald Jones II,O.J. Howard,60000,99.37969048069972
Dak Prescott,Tom Brady,Amari Cooper,CeeDee Lamb,O.J. Howard,60000,99.37674929300944
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Michael Gallup,60000,99.36719067143459
Tom Brady,Dak Prescott,Leonard Fournette,Ronald Jones II,Greg Zuerlein,60000,99.1989408418244
Dak Prescott,Tom Brady,Leonard Fournette,CeeDee Lamb,Rob Gronkowski,60000,99.10424982706705
Dak Prescott,Tom Brady,Leonard Fournette,Ronald Jones II,O.J. Howard,58500,99.09844048069972
Dak Prescott,Tom Brady,CeeDee Lamb,Antonio Brown,Greg Zuerlein,58500,99.06424961090087
Dak Prescott,Tom Brady,Amari Cooper,Ronald Jones II,O.J. Howard,59500,99.03594048069972
Dak Prescott,Tom Brady,Leonard Fournette,Ryan Succop,Greg Zuerlein,59000,99.03299986521402
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Antonio Brown,60000,99.01769058751124
Dak Prescott,Tom Brady,Amari Cooper,Ryan Succop,Greg Zuerlein,60000,98.97049986521402
Dak Prescott,Tom Brady,Ezekiel Elliott,Greg Zuerlein,O.J. Howard,60000,98.90049908955892
Dak Prescott,Tom Brady,CeeDee Lamb,Antonio Brown,Ryan Succop,59000,98.85174961090087
Dak Prescott,Tom Brady,Mike Evans,Antonio Brown,O.J. Howard,60000,98.80799942016601
Dak Prescott,Tom Brady,Leonard Fournette,Ronald Jones II,Rob Gronkowski,59500,98.76344101475733
Dak Prescott,Tom Brady,Ronald Jones II,Antonio Brown,Greg Zuerlein,58000,98.72344079859116
Dak Prescott,Tom Brady,Leonard Fournette,Michael Gallup,Greg Zuerlein,59500,98.67050005594889
Dak Prescott,Tom Brady,Leonard Fournette,CeeDee Lamb,Dalton Schultz,59000,98.60174967447917
Dak Prescott,Tom Brady,Chris Godwin,Ronald Jones II,Dalton Schultz,60000,98.54219086216945
Dak Prescott,Tom Brady,Amari Cooper,CeeDee Lamb,Dalton Schultz,60000,98.53924967447917
Dak Prescott,Tom Brady,Ronald Jones II,Antonio Brown,Ryan Succop,58500,98.51094079859115
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Greg Zuerlein,59000,98.50519046035467
Dak Prescott,Tom Brady,Chris Godwin,Antonio Brown,O.J. Howard,59500,98.50174961090087
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,Antonio Brown,59500,98.48924980163574
Dak Prescott,Tom Brady,Leonard Fournette,Michael Gallup,Ryan Succop,60000,98.45800005594889
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,O.J. Howard,57500,98.40469009923
Dak Prescott,Tom Brady,CeeDee Lamb,Ryan Succop,Greg Zuerlein,58000,98.3392494837443
Tom Brady,Dak Prescott,Leonard Fournette,Antonio Brown,Greg Zuerlein,59500,98.32099997202555
Dak Prescott,Tom Brady,Mike Evans,Greg Zuerlein,O.J. Howard,59000,98.29549929300944
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Ryan Succop,59500,98.29269046035466
Dak Prescott,Tom Brady,Leonard Fournette,Ronald Jones II,Dalton Schultz,58500,98.26094086216945
Dak Prescott,Tom Brady,Leonard Fournette,Antonio Brown,O.J. Howard,58000,98.22049961090087
Dak Prescott,Tom Brady,Amari Cooper,Ronald Jones II,Dalton Schultz,59500,98.19844086216945
Dak Prescott,Tom Brady,Amari Cooper,Antonio Brown,O.J. Howard,59000,98.15799961090087
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,Antonio Brown,59000,98.14844098932602
Tom Brady,Dak Prescott,Leonard Fournette,Antonio Brown,Ryan Succop,60000,98.10849997202554
Dak Prescott,Tom Brady,Leonard Fournette,CeeDee Lamb,Tony Pollard,60000,98.08924986521403
Dak Prescott,Tom Brady,Mike Evans,Ryan Succop,O.J. Howard,59500,98.08299929300944
Dak Prescott,Tom Brady,CeeDee Lamb,Ronald Jones II,Rob Gronkowski,58500,98.0696906332876
Dak Prescott,Tom Brady,Ezekiel Elliott,Greg Zuerlein,Dalton Schultz,60000,98.06299947102865
Tom Brady,Dak Prescott,Leonard Fournette,CeeDee Lamb,O.J. Howard,59000,98.00224927266439
Dak Prescott,Tom Brady,Ronald Jones II,Ryan Succop,Greg Zuerlein,57500,97.99844067143458
Dak Prescott,Tom Brady,Chris Godwin,Greg Zuerlein,O.J. Howard,58500,97.9892494837443
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,Greg Zuerlein,58500,97.97674967447917
Dak Prescott,Tom Brady,Mike Evans,Antonio Brown,Dalton Schultz,60000,97.97049980163574
Dak Prescott,Tom Brady,Mike Evans,Greg Zuerlein,Rob Gronkowski,60000,97.96049982706705
Tom Brady,Dak Prescott,Chris Godwin,Ronald Jones II,O.J. Howard,60000,97.94269046035467
Tom Brady,Dak Prescott,Amari Cooper,CeeDee Lamb,O.J. Howard,60000,97.93974927266439
Tom Brady,Dak Prescott,CeeDee Lamb,Ronald Jones II,Michael Gallup,60000,97.93019065108953
Dak Prescott,Tom Brady,Leonard Fournette,Antonio Brown,Rob Gronkowski,59000,97.88550014495848
Dak Prescott,Tom Brady,Amari Cooper,Antonio Brown,Rob Gronkowski,60000,97.82300014495848
Dak Prescott,Tom Brady,Chris Godwin,Ryan Succop,O.J. Howard,59000,97.7767494837443
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,Ryan Succop,59000,97.76424967447916
Dak Prescott,Tom Brady,Leonard Fournette,Ronald Jones II,Tony Pollard,59500,97.74844105290431
Dak Prescott,Tom Brady,Mike Evans,Michael Gallup,O.J. Howard,60000,97.7204994837443
Dak Prescott,Tom Brady,Leonard Fournette,Greg Zuerlein,O.J. Howard,57000,97.7079994837443
Tom Brady,Dak Prescott,Leonard Fournette,CeeDee Lamb,Rob Gronkowski,60000,97.667249806722
Dak Prescott,Tom Brady,Chris Godwin,Antonio Brown,Dalton Schultz,59500,97.6642499923706
Tom Brady,Dak Prescott,Leonard Fournette,Ronald Jones II,O.J. Howard,58500,97.66144046035467
Dak Prescott,Tom Brady,Chris Godwin,Greg Zuerlein,Rob Gronkowski,59500,97.65425001780191
Dak Prescott,Tom Brady,Amari Cooper,Greg Zuerlein,O.J. Howard,58000,97.6454994837443
Dak Prescott,Tom Brady,Ronald Jones II,Michael Gallup,Greg Zuerlein,58000,97.63594086216945
Tom Brady,Dak Prescott,CeeDee Lamb,Antonio Brown,Greg Zuerlein,58500,97.62724959055582
Tom Brady,Dak Prescott,Amari Cooper,Ronald Jones II,O.J. Howard,59500,97.59894046035467
Tom Brady,Dak Prescott,Leonard Fournette,Ryan Succop,Greg Zuerlein,59000,97.59599984486897
