Player,Inj,Likes,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,StdDev,2018 Avg,2019 Avg,FC,My,Diff,FC Proj,My Proj,Exp.,Used,Con.,Value,FPs,Val
Patrick Mahomes,,,QB,KC,@ DET,17th,30.75,17000,15,39.2,9.7,25.4,28.9,0,0,0,24.65,24.65,100,,55,1.5,18.00,1.1
Jared Goff,,,QB,LAR,vs TB,9th,28.75,15500,12.2,33,8.3,18.7,15.2,0,0,0,20.52,20.52,100,,48,1.3,23.68,1.5
Dalvin Cook,,,RB,MIN,@ CHI,1st,18.75,15500,5.9,29.6,9.5,12,24.6,0,0,0,15.37,15.37,100,,42,1,16.00,1
Dak Prescott,,,QB,DAL,@ NO,25th,24.75,15500,11.1,32.9,8.7,18,28.5,0,0,0,19.84,19.84,100,,53,1.3,8.62,0.6
Aaron Rodgers,,,QB,GB,vs PHI,18th,24.75,15000,10.7,32,8.5,19.7,13.5,0,0,0,19.20,19.20,100,,58,1.3,26.48,1.8
Jameis Winston,,,QB,TB,@ LAR,3rd,19.75,15000,9,28.7,7.9,19.1,16.6,0,0,0,16.89,16.89,100,,52,1.1,30.30,2
Andy Dalton,,,QB,CIN,@ PIT,23rd,21.00,15000,8.3,27,7.5,16.9,19.5,0,0,0,15.79,15.79,100,,50,1.1,4.64,0.3
Carson Wentz,,,QB,PHI,@ GB,29th,21.75,14500,10.4,26.9,6.6,18.2,22.1,0,0,0,16.99,16.99,100,,62,1.2,19.70,1.4
Gardner Minshew,,,QB,JAC,@ DEN,6th,17.50,14500,8.6,24.1,6.2,,17.6,0,0,0,14.83,14.83,100,,62,1,16.72,1.2
Alvin Kamara,,,RB,NO,vs DAL,15th,22.75,14500,8.2,32.9,9.9,19.1,19.8,0,0,0,18.09,18.09,100,,43,1.2,10.40,0.7
Davante Adams,,,WR,GB,vs PHI,21st,24.75,14000,6.1,27.6,8.6,17.5,9.1,0,0,0,14.67,14.67,100,,39,1,23.00,1.6
Matthew Stafford,,,QB,DET,vs KC,30th,23.75,14000,11.9,29.4,7.0,13.9,18.9,0,0,0,18.91,18.91,100,,59,1.4,23.44,1.7
Mike Evans,,,WR,TB,@ LAR,2nd,19.75,14000,4.6,25.1,8.2,14.2,17.6,0,0,0,12.79,12.79,100,,37,0.9,16.90,1.2
D.J. Chark,,,WR,JAC,@ DEN,11th,17.50,14000,0.6,20.3,7.9,2.2,17.7,0,0,0,8.48,8.48,100,,5,0.6,6.40,0.5
Kirk Cousins,,,QB,MIN,@ CHI,5th,18.75,14000,5.7,25.7,8.0,18.3,12.6,0,0,0,13.74,13.74,100,,54,1,7.32,0.5
Ezekiel Elliott,,,RB,DAL,@ NO,7th,24.75,14000,10.1,30.4,8.1,18.5,15.6,0,0,0,18.21,18.21,100,,53,1.3,13.50,1
