Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Dalvin Cook,RB,0,0,2,111,2,0,9,0,0,0,0,0,0,0,0,0,0,0,25.0
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Matt Ryan,QB,2,304,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20.56
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Calvin Ridley,WR,0,0,0,0,4,1,64,0,0,0,0,0,0,0,0,0,0,0,14.4
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Kirk Cousins,QB,1,98,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Austin Hooper,TE,0,0,0,0,9,0,77,0,0,0,0,0,0,0,0,0,0,0,12.2
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Julio Jones,WR,0,0,0,0,6,1,31,0,0,0,0,0,0,0,0,0,0,0,12.1
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Adam Thielen,WR,0,0,0,0,3,1,43,0,0,0,0,0,0,0,0,0,0,0,11.8
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Mohamed Sanu,WR,0,0,0,0,5,0,57,0,0,0,0,0,0,0,0,0,0,0,8.2
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Justin Hardy,WR,0,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,6.1
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Alexander Mattison,RB,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Stefon Diggs,WR,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,4.7
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Ito Smith,RB,0,0,0,31,1,0,9,0,0,0,0,0,0,0,0,0,0,0,4.5
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Devonta Freeman,RB,0,0,0,19,3,0,12,0,1,0,0,0,0,0,0,0,0,0,2.6
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Russell Gage,WR,0,0,0,-1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.7
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Chad Beebe,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Ameer Abdullah,RB,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Luke Stocker,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Atlanta FalconsVMinnesota Vikings,MIN,Kyle Rudolph,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Atlanta FalconsVMinnesota Vikings,ATL,Kenjon Barner,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
