Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Christian McCaffrey,RB,0,0,2,128,10,0,81,0,0,0,0,0,0,0,0,0,0,0,37.9
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Malcolm Brown,RB,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Greg Zuerlein,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,15.0
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Robert Woods,WR,0,0,0,16,8,0,70,0,0,0,0,0,0,0,0,0,0,0,12.6
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,12.0
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Todd Gurley,RB,0,0,0,97,1,0,4,0,0,0,0,0,0,0,0,0,0,0,10.6
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Jared Goff,QB,1,186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.44
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Tyler Higbee,TE,0,0,0,0,4,1,20,0,0,0,0,0,0,0,0,0,0,0,10.0
2019,1,Los Angeles RamsVCarolina Panthers,CAR,D.J. Moore,WR,0,0,0,0,7,0,76,0,1,0,0,0,0,0,0,0,0,0,9.1
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Cooper Kupp,WR,0,0,0,0,7,0,46,0,0,0,0,0,0,0,0,0,0,0,8.1
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Cam Newton,QB,0,239,0,-2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.36
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Alex Armah,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Greg Olsen,TE,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,5.6
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Brandin Cooks,WR,0,0,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,4.9
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Curtis Samuel,WR,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Jarius Wright,WR,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Gerald Everett,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Josh Reynolds,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Darrell Henderson,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Chris Hogan,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Ian Thomas,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Los Angeles RamsVCarolina Panthers,LAR,Jojo Natson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Los Angeles RamsVCarolina Panthers,CAR,Ray-Ray McCloud,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
