Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,1,New York GiantsVDallas Cowboys,DAL,Dak Prescott,error,4,405,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4
2019,1,New York GiantsVDallas Cowboys,NYG,Evan Engram,TE,0,0,0,0,11,1,116,0,0,0,0,0,0,0,0,0,0,0,23.1
2019,1,New York GiantsVDallas Cowboys,DAL,Amari Cooper,WR,0,0,0,0,6,1,106,0,0,0,0,0,0,0,0,0,0,0,19.6
2019,1,New York GiantsVDallas Cowboys,DAL,Michael Gallup,WR,0,0,0,0,7,0,158,0,0,0,0,0,0,0,0,0,0,0,19.3
2019,1,New York GiantsVDallas Cowboys,NYG,Saquon Barkley,RB,0,0,0,120,4,0,19,0,0,0,0,0,0,0,0,0,0,0,15.9
2019,1,New York GiantsVDallas Cowboys,DAL,Randall Cobb,WR,0,0,0,0,4,1,69,0,0,0,0,0,0,0,0,0,0,0,14.9
2019,1,New York GiantsVDallas Cowboys,NYG,Eli Manning,error,1,306,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.84
2019,1,New York GiantsVDallas Cowboys,DAL,Ezekiel Elliott,RB,0,0,1,53,1,0,10,0,0,0,0,0,0,0,0,0,0,0,12.8
2019,1,New York GiantsVDallas Cowboys,NYG,Wayne Gallman,RB,0,0,1,17,3,0,24,0,0,0,0,0,0,0,0,0,0,0,11.6
2019,1,New York GiantsVDallas Cowboys,DAL,Blake Jarwin,TE,0,0,0,0,3,1,39,0,0,0,0,0,0,0,0,0,0,0,11.4
2019,1,New York GiantsVDallas Cowboys,DAL,Jason Witten,TE,0,0,0,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,9.0
2019,1,New York GiantsVDallas Cowboys,NYG,Cody Latimer,error,0,0,0,0,3,0,74,0,0,0,0,0,0,0,0,0,0,0,8.9
2019,1,New York GiantsVDallas Cowboys,NYG,Sterling Shepard,WR,0,0,0,0,6,0,42,0,0,0,0,0,0,0,0,0,0,0,7.2
2019,1,New York GiantsVDallas Cowboys,NYG,Bennie Fowler,WR,0,0,0,0,5,0,40,0,0,0,0,0,0,0,0,0,0,0,6.5
2019,1,New York GiantsVDallas Cowboys,NYG,Aldrick Rosas,error,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5.0
2019,1,New York GiantsVDallas Cowboys,DAL,Brett Maher,error,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
2019,1,New York GiantsVDallas Cowboys,DAL,Tony Pollard,RB,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
2019,1,New York GiantsVDallas Cowboys,NYG,Rhett Ellison,error,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2019,1,New York GiantsVDallas Cowboys,DAL,Tavon Austin,WR,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2019,1,New York GiantsVDallas Cowboys,NYG,Elijhaa Penny,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2019,1,New York GiantsVDallas Cowboys,DAL,Jamize Olawale,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,New York GiantsVDallas Cowboys,NYG,Jabrill Peppers,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,New York GiantsVDallas Cowboys,NYG,Corey Ballentine,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,New York GiantsVDallas Cowboys,NYG,Daniel Jones,QB,0,17,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.82
