Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,1,Tennessee TitansVCleveland Browns,TEN,Derrick Henry,RB,0,0,1,84,1,1,75,0,0,0,0,0,0,0,0,0,0,0,28.4
2019,1,Tennessee TitansVCleveland Browns,TEN,Marcus Mariota,QB,3,248,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.32
2019,1,Tennessee TitansVCleveland Browns,TEN,Delanie Walker,TE,0,0,0,0,5,2,55,0,0,0,0,0,0,0,0,0,0,0,20.0
2019,1,Tennessee TitansVCleveland Browns,TEN,Cairo Santos,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,13.0
2019,1,Tennessee TitansVCleveland Browns,CLE,Baker Mayfield,QB,1,285,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12.4
2019,1,Tennessee TitansVCleveland Browns,CLE,David Njoku,TE,0,0,0,0,4,1,37,0,0,0,0,0,0,0,0,0,0,0,11.7
2019,1,Tennessee TitansVCleveland Browns,TEN,A.J. Brown,WR,0,0,0,0,3,0,100,0,0,0,0,0,0,0,0,0,0,0,11.5
2019,1,Tennessee TitansVCleveland Browns,CLE,Odell Beckham Jr.,WR,0,0,0,0,7,0,71,0,0,0,0,0,0,0,0,0,0,0,10.6
2019,1,Tennessee TitansVCleveland Browns,CLE,Nick Chubb,RB,0,0,0,75,3,0,10,0,0,0,0,0,0,0,0,0,0,0,10.0
2019,1,Tennessee TitansVCleveland Browns,CLE,Jarvis Landry,WR,0,0,0,10,4,0,67,0,0,0,0,0,0,0,0,0,0,0,9.7
2019,1,Tennessee TitansVCleveland Browns,CLE,Dontrell Hilliard,RB,0,0,1,4,1,0,14,0,0,0,0,0,0,0,0,0,0,0,8.3
2019,1,Tennessee TitansVCleveland Browns,CLE,Rashard Higgins,WR,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,5.6
2019,1,Tennessee TitansVCleveland Browns,CLE,D'Ernest Johnson,RB,0,0,0,13,2,0,23,0,0,0,0,0,0,0,0,0,0,0,4.6
2019,1,Tennessee TitansVCleveland Browns,TEN,Dion Lewis,RB,0,0,0,7,3,0,6,0,0,0,0,0,0,0,0,0,0,0,2.8
2019,1,Tennessee TitansVCleveland Browns,CLE,Damion Ratley,WR,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,2.7
2019,1,Tennessee TitansVCleveland Browns,TEN,Jonnu Smith,TE,0,0,0,10,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2.2
2019,1,Tennessee TitansVCleveland Browns,TEN,Adam Humphries,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2019,1,Tennessee TitansVCleveland Browns,CLE,Austin Seibert,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2019,1,Tennessee TitansVCleveland Browns,TEN,Tajae Sharpe,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Tennessee TitansVCleveland Browns,TEN,MyCole Pruitt,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Tennessee TitansVCleveland Browns,TEN,Corey Davis,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Tennessee TitansVCleveland Browns,CLE,Demetrius Harris,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Tennessee TitansVCleveland Browns,TEN,Darius Jennings,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Tennessee TitansVCleveland Browns,TEN,Adoree' Jackson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,1,Tennessee TitansVCleveland Browns,TEN,Ryan Tannehill,QB,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
