Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,DeSean Jackson,WR,0,0,0,0,8,2,154,0,0,0,0,0,0,0,0,0,0,0,31.4
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Case Keenum,QB,3,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Carson Wentz,QB,3,313,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Terry McLaurin,WR,0,0,0,0,5,1,125,0,0,0,0,0,0,0,0,0,0,0,21.0
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Alshon Jeffery,WR,0,0,1,2,5,1,49,0,0,0,0,0,0,0,0,0,0,0,19.6
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Vernon Davis,TE,0,0,0,0,4,1,59,0,0,0,0,0,0,0,0,0,0,0,13.9
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Chris Thompson,RB,0,0,0,10,7,0,68,0,0,0,0,0,0,0,0,0,0,0,11.3
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Trey Quinn,WR,0,0,0,0,4,1,33,0,0,0,0,0,0,0,0,0,0,0,11.3
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Dustin Hopkins,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,11.0
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Darren Sproles,RB,0,0,0,47,3,0,16,0,0,0,0,0,0,0,0,0,0,1,9.8
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Zach Ertz,TE,0,0,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,0,7.9
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Jordan Howard,RB,0,0,0,44,2,0,11,0,0,0,0,0,0,0,0,0,0,0,6.5
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6.0
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Paul Richardson,WR,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,5.6
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Derrius Guice,RB,0,0,0,18,3,0,20,0,0,0,0,0,0,0,0,0,0,0,5.3
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Kelvin Harmon,WR,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,4.1
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Miles Sanders,RB,0,0,0,25,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.2
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Dallas Goedert,TE,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2019,1,Washington RedskinsVPhiladelphia Eagles,PHI,Nelson Agholor,WR,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.1
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Jeremy Sprinkle,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2019,1,Washington RedskinsVPhiladelphia Eagles,WAS,Steven Sims,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
