Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,2,Dallas CowboysVWashington Redskins,DAL,Dak Prescott,error,3,269,0,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.66
2019,2,Dallas CowboysVWashington Redskins,DAL,Ezekiel Elliott,RB,0,0,1,111,2,0,9,0,0,0,0,0,0,0,0,0,0,0,19.0
2019,2,Dallas CowboysVWashington Redskins,WAS,Case Keenum,QB,2,221,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74
2019,2,Dallas CowboysVWashington Redskins,DAL,Devin Smith,error,0,0,0,0,3,1,74,0,0,0,0,0,0,0,0,0,0,0,14.9
2019,2,Dallas CowboysVWashington Redskins,WAS,Terry McLaurin,WR,0,0,0,0,5,1,62,0,0,0,0,0,0,0,0,0,0,0,14.7
2019,2,Dallas CowboysVWashington Redskins,DAL,Amari Cooper,WR,0,0,0,0,4,1,44,0,0,0,0,0,0,0,0,0,0,0,12.4
2019,2,Dallas CowboysVWashington Redskins,DAL,Jason Witten,TE,0,0,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,10.5
2019,2,Dallas CowboysVWashington Redskins,WAS,Adrian Peterson,RB,0,0,1,25,2,0,7,0,0,0,0,0,0,0,0,0,0,0,10.2
2019,2,Dallas CowboysVWashington Redskins,DAL,Michael Gallup,WR,0,0,0,0,6,0,68,0,0,0,0,0,0,0,0,0,0,0,9.8
2019,2,Dallas CowboysVWashington Redskins,WAS,Paul Richardson,error,0,0,0,0,3,1,16,0,0,0,0,0,0,0,0,0,0,0,9.1
2019,2,Dallas CowboysVWashington Redskins,WAS,Chris Thompson,RB,0,0,0,3,5,0,48,0,0,0,0,0,0,0,0,0,0,0,7.6
2019,2,Dallas CowboysVWashington Redskins,DAL,Brett Maher,error,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,7.0
2019,2,Dallas CowboysVWashington Redskins,DAL,Randall Cobb,WR,0,0,0,11,5,0,24,0,0,0,0,0,0,0,0,0,0,0,6.0
2019,2,Dallas CowboysVWashington Redskins,WAS,Trey Quinn,WR,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,5.6
2019,2,Dallas CowboysVWashington Redskins,WAS,Vernon Davis,error,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,4.4
2019,2,Dallas CowboysVWashington Redskins,WAS,Dustin Hopkins,error,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2019,2,Dallas CowboysVWashington Redskins,DAL,Tony Pollard,RB,0,0,0,22,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2019,2,Dallas CowboysVWashington Redskins,DAL,Blake Jarwin,TE,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,2.7
2019,2,Dallas CowboysVWashington Redskins,WAS,Steven Sims,WR,0,0,0,16,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2.4
2019,2,Dallas CowboysVWashington Redskins,WAS,Wendell Smallwood,RB,0,0,0,4,2,0,9,0,0,0,0,0,0,0,0,0,0,0,2.3
2019,2,Dallas CowboysVWashington Redskins,WAS,Jeremy Sprinkle,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2019,2,Dallas CowboysVWashington Redskins,DAL,Cedrick Wilson Jr.,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
