Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Gardner Minshew II,QB,1,213,0,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.12
2019,2,Jacksonville JaguarsVHouston Texans,JAX,DJ Chark,WR,0,0,0,0,7,1,55,0,0,0,0,0,0,0,0,0,0,0,15.0
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Deshaun Watson,QB,0,159,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Leonard Fournette,RB,0,0,0,47,4,0,40,0,0,0,0,0,0,0,0,0,0,0,10.7
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Chris Conley,WR,0,0,0,0,4,0,73,0,0,0,0,0,0,0,0,0,0,0,9.3
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Carlos Hyde,RB,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Josh Lambo,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.0
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7.0
2019,2,Jacksonville JaguarsVHouston Texans,HOU,DeAndre Hopkins,WR,0,0,0,0,5,0,40,0,0,0,0,0,0,0,0,0,0,0,6.5
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Will Fuller,WR,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,6.0
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Kenny Stills,WR,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,4.8
2019,2,Jacksonville JaguarsVHouston Texans,JAX,James O'Shaughnessy,TE,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,4.8
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Jordan Akins,TE,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Duke Johnson,RB,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Geoff Swaim,TE,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,2.9
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Keke Coutee,WR,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1.7
2019,2,Jacksonville JaguarsVHouston Texans,HOU,Darren Fells,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Dede Westbrook,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2019,2,Jacksonville JaguarsVHouston Texans,JAX,Tyler Ervin,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Jacksonville JaguarsVHouston Texans,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
