Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Demarcus Robinson,WR,0,0,0,0,6,2,172,0,0,0,0,0,0,0,0,0,0,0,32.2
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Patrick Mahomes,QB,4,443,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.62
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Travis Kelce,TE,0,0,0,0,7,1,107,0,0,0,0,0,0,0,0,0,0,0,20.2
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Mecole Hardman,WR,0,0,0,0,4,1,61,0,0,0,0,0,0,0,0,0,0,0,14.1
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Tyrell Williams,error,0,0,0,0,5,1,46,0,0,0,0,0,0,0,0,0,0,0,13.1
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Derek Carr,QB,1,198,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11.72
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Josh Jacobs,RB,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Darren Waller,TE,0,0,0,0,6,0,63,0,0,0,0,0,0,0,0,0,0,0,9.3
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Sammy Watkins,WR,0,0,0,0,6,0,49,0,0,0,0,0,0,0,0,0,0,0,7.9
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Damien Williams,error,0,0,0,8,3,0,48,0,0,0,0,0,0,0,0,0,0,0,7.1
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Hunter Renfrow,error,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,5.0
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Derek Carrier,TE,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4.8
2019,2,Kansas City ChiefsVOakland Raiders,OAK,DeAndre Washington,RB,0,0,0,9,2,0,26,0,0,0,0,0,0,0,0,0,0,0,4.5
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Harrison Butker,error,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Daniel Carlson,error,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.0
2019,2,Kansas City ChiefsVOakland Raiders,KAN,LeSean McCoy,RB,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Jalen Richard,RB,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1.5
2019,2,Kansas City ChiefsVOakland Raiders,KAN,De'Anthony Thomas,error,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Ryan Grant,error,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.3
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Darwin Thompson,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2019,2,Kansas City ChiefsVOakland Raiders,KAN,Blake Bell,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Kansas City ChiefsVOakland Raiders,OAK,Dwayne Harris,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
