Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,2,Los Angeles ChargersVDetroit Lions,DET,Kenny Golladay,WR,0,0,0,0,8,1,117,0,0,0,0,0,0,0,0,0,0,0,21.7
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Austin Ekeler,RB,0,0,1,66,6,0,67,0,1,0,0,0,0,0,0,0,0,0,20.3
2019,2,Los Angeles ChargersVDetroit Lions,DET,Matthew Stafford,QB,2,245,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.1
2019,2,Los Angeles ChargersVDetroit Lions,DET,Kerryon Johnson,RB,0,0,0,41,2,1,47,0,0,0,0,0,0,0,0,0,0,0,15.8
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Keenan Allen,WR,0,0,0,0,8,0,98,0,0,0,0,0,0,0,0,0,0,0,13.8
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Philip Rivers,QB,0,293,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.92
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Mike Williams,WR,0,0,0,0,3,0,83,0,0,0,0,0,0,0,0,0,0,0,9.8
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Justin Jackson,RB,0,0,0,59,1,0,5,0,0,0,0,0,0,0,0,0,0,0,6.9
2019,2,Los Angeles ChargersVDetroit Lions,DET,Marvin Jones,WR,0,0,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,6.8
2019,2,Los Angeles ChargersVDetroit Lions,DET,Ty Johnson,error,0,0,0,30,2,0,6,0,0,0,0,0,0,0,0,0,0,0,4.6
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Dontrelle Inman,WR,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,3.3
2019,2,Los Angeles ChargersVDetroit Lions,DET,Jesse James,TE,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3.3
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Virgil Green,error,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2019,2,Los Angeles ChargersVDetroit Lions,DET,Logan Thomas,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2019,2,Los Angeles ChargersVDetroit Lions,DET,T.J. Hockenson,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2019,2,Los Angeles ChargersVDetroit Lions,DET,Matt Prater,error,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Derek Watt,error,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2019,2,Los Angeles ChargersVDetroit Lions,DET,C.J. Anderson,error,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2019,2,Los Angeles ChargersVDetroit Lions,DET,J.D. McKissic,error,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Travis Benjamin,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Los Angeles ChargersVDetroit Lions,DET,Danny Amendola,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Los Angeles ChargersVDetroit Lions,LAC,Desmond King,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Los Angeles ChargersVDetroit Lions,DET,Jamal Agnew,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
