Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Julio Jones,WR,0,0,0,0,5,2,106,0,0,0,0,0,0,0,0,0,0,0,25.1
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Matt Ryan,QB,3,320,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22.1
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Nelson Agholor,WR,0,0,0,0,8,1,107,0,0,0,0,0,0,0,0,0,0,0,20.7
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Calvin Ridley,WR,0,0,0,0,8,1,105,0,0,0,0,0,0,0,0,0,0,0,20.5
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Carson Wentz,QB,1,231,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,19.54
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Zach Ertz,TE,0,0,0,0,8,0,72,0,0,0,0,0,0,0,0,0,0,1,13.2
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Devonta Freeman,RB,0,0,0,22,3,0,42,0,0,0,0,0,0,0,0,0,0,0,7.9
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Mack Hollins,WR,0,0,0,0,5,0,50,0,0,0,0,0,0,0,0,0,0,0,7.5
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Jake Elliott,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.0
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Ito Smith,RB,0,0,0,32,2,0,13,0,0,0,0,0,0,0,0,0,0,0,5.5
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Austin Hooper,TE,0,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,5.4
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Miles Sanders,RB,0,0,0,28,3,0,9,0,0,0,0,0,0,0,0,0,0,0,5.2
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Mohamed Sanu,WR,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,3.6
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Jordan Howard,RB,0,0,0,18,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3.1
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Matt Bryant\b,error,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Darren Sproles,error,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Josh McCown,error,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,JJ Arcega-Whiteside,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Luke Stocker,TE,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Justin Hardy,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Russell Gage,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Philadelphia EaglesVAtlanta Falcons,PHI,Corey Clement,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,2,Philadelphia EaglesVAtlanta Falcons,ATL,Kenjon Barner,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
