Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Jimmy Garoppolo,error,3,296,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.64
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Raheem Mostert,RB,0,0,0,83,3,1,68,0,0,0,0,0,0,0,0,0,0,0,22.6
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Andy Dalton,QB,2,311,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.64
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,John Ross,WR,0,0,0,0,4,1,112,0,0,0,0,0,0,0,0,0,0,0,19.2
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Deebo Samuel,error,0,0,0,7,5,1,86,0,0,0,0,0,0,0,0,0,0,0,17.8
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Tyler Boyd,WR,0,0,0,0,10,0,122,0,0,0,0,0,0,0,0,0,0,0,17.2
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Jeff Wilson,RB,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Marquise Goodwin,error,0,0,0,0,3,1,77,0,0,0,0,0,0,0,0,0,0,0,15.2
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Matt Breida,RB,0,0,0,121,1,0,11,0,0,0,0,0,0,0,0,0,0,0,13.7
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Tyler Eifert,TE,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,8.4
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,George Kittle,TE,0,0,0,0,3,0,54,0,0,0,0,0,0,0,0,0,0,0,6.9
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Robbie Gould\g,error,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Randy Bullock,error,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.0
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Joe Mixon,error,0,0,0,17,3,0,10,0,0,0,0,0,0,0,0,0,0,0,4.2
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Drew Sample,TE,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Alex Erickson,WR,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Giovani Bernard,RB,0,0,0,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.8
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Kyle Juszczyk,error,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.6
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Richie James,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Auden Tate,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Damion Willis,error,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Kendrick Bourne,error,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2019,2,San Francisco 49ersVCincinnati Bengals,SFO,Dante Pettis,WR,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
2019,2,San Francisco 49ersVCincinnati Bengals,CIN,Darius Phillips,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
