Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,3,New York JetsVNew England Patriots,NWE,Tom Brady,QB,2,306,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14
2019,3,New York JetsVNew England Patriots,NWE,Rex Burkhead,RB,0,0,1,47,6,0,22,0,0,0,0,0,0,0,0,0,0,0,15.9
2019,3,New York JetsVNew England Patriots,NWE,Julian Edelman,WR,0,0,0,0,7,1,62,0,0,0,0,0,0,0,0,0,0,0,15.7
2019,3,New York JetsVNew England Patriots,NWE,Phillip Dorsett,WR,0,0,0,12,6,1,53,0,0,0,0,0,0,0,0,0,0,0,15.5
2019,3,New York JetsVNew England Patriots,NWE,Josh Gordon,WR,0,0,0,1,6,0,83,0,0,0,0,0,0,0,0,0,0,0,11.4
2019,3,New York JetsVNew England Patriots,NYJ,Le'Veon Bell,RB,0,0,0,35,4,0,28,0,0,0,0,0,0,0,0,0,0,0,8.3
2019,3,New York JetsVNew England Patriots,NWE,Sony Michel,RB,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1
2019,3,New York JetsVNew England Patriots,NWE,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2019,3,New York JetsVNew England Patriots,NWE,Jakobi Meyers,WR,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,4.8
2019,3,New York JetsVNew England Patriots,NWE,Ryan Izzo,TE,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,4.6
2019,3,New York JetsVNew England Patriots,NYJ,Braxton Berrios,WR,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,3.9
2019,3,New York JetsVNew England Patriots,NYJ,Jamison Crowder,WR,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,3.5
2019,3,New York JetsVNew England Patriots,NYJ,Luke Falk,QB,0,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.92
2019,3,New York JetsVNew England Patriots,NWE,Brandon Bolden,RB,0,0,0,-2,2,0,21,0,0,0,0,0,0,0,0,0,0,0,2.9
2019,3,New York JetsVNew England Patriots,NYJ,Robby Anderson,WR,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,2.6
2019,3,New York JetsVNew England Patriots,NYJ,Sam Ficken,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2019,3,New York JetsVNew England Patriots,NYJ,Ryan Griffin,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2019,3,New York JetsVNew England Patriots,NYJ,Ty Montgomery,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2019,3,New York JetsVNew England Patriots,NWE,Gunner Olszewski,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,3,New York JetsVNew England Patriots,NWE,Jarrett Stidham,QB,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.44
