Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,Gardner Minshew II,QB,2,204,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.96
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,DJ Chark,WR,0,0,0,0,4,1,76,0,0,0,0,0,0,0,0,0,0,0,15.6
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Marcus Mariota,QB,0,304,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Adam Humphries,WR,0,0,0,0,6,0,93,0,0,0,0,0,0,0,0,0,0,0,12.3
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,Leonard Fournette,RB,0,0,0,66,6,0,26,0,0,0,0,0,0,0,0,0,0,0,12.2
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Derrick Henry,RB,0,0,1,44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,11.1
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,Josh Lambo,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10.0
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Delanie Walker,TE,0,0,0,0,7,0,64,0,0,0,0,0,0,0,0,0,0,0,9.9
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,James O'Shaughnessy,TE,0,0,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,8.8
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Tajae Sharpe,WR,0,0,0,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,8.0
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,Dede Westbrook,WR,0,0,0,4,5,0,46,0,0,0,0,0,0,0,0,0,0,0,7.5
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Corey Davis,WR,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,Chris Conley,WR,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,4.0
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Jonnu Smith,TE,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.0
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Dion Lewis,RB,0,0,0,13,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2.5
2019,3,Tennessee TitansVJacksonville Jaguars,JAX,Geoff Swaim,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Cairo Santos,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,A.J. Brown,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Darius Jennings,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,3,Tennessee TitansVJacksonville Jaguars,TEN,Adoree' Jackson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
