Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,10,Houston TexansVCleveland Browns,CLE,Nick Chubb,RB,0,0,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6
2020,10,Houston TexansVCleveland Browns,CLE,Kareem Hunt,rb,0,0,0,104,3,0,28,0,0,0,0,0,0,0,0,0,0,0,14.7
2020,10,Houston TexansVCleveland Browns,HOU,Deshaun Watson,QB,1,163,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12
2020,10,Houston TexansVCleveland Browns,HOU,Pharaoh Brown,TE,0,0,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,10,Houston TexansVCleveland Browns,HOU,Brandin Cooks,WR,0,0,0,0,6,0,39,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,10,Houston TexansVCleveland Browns,HOU,Will Fuller,WR,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,10,Houston TexansVCleveland Browns,CLE,Rashard Higgins,wr,0,0,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,10,Houston TexansVCleveland Browns,HOU,Randall Cobb,WR,0,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,5.6
2020,10,Houston TexansVCleveland Browns,HOU,Duke Johnson,rb,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,10,Houston TexansVCleveland Browns,CLE,Baker Mayfield,QB,0,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38
2020,10,Houston TexansVCleveland Browns,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.0
2020,10,Houston TexansVCleveland Browns,CLE,Jarvis Landry,WR,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,10,Houston TexansVCleveland Browns,CLE,Donovan Peoples-Jones,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,10,Houston TexansVCleveland Browns,HOU,Darren Fells,TE,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,10,Houston TexansVCleveland Browns,CLE,Austin Hooper,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,10,Houston TexansVCleveland Browns,HOU,Kenny Stills,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,10,Houston TexansVCleveland Browns,HOU,Jordan Akins,te,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,10,Houston TexansVCleveland Browns,HOU,C.J. Prosise,RB,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,10,Houston TexansVCleveland Browns,CLE,KhaDarel Hodge,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,Houston TexansVCleveland Browns,HOU,DeAndre Carter,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
