Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,10,Minnesota VikingsVChicago Bears,MIN,Kirk Cousins,QB,2,292,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.58
2020,10,Minnesota VikingsVChicago Bears,MIN,Adam Thielen,WR,0,0,0,0,4,2,43,0,0,0,0,0,0,0,0,0,0,0,18.3
2020,10,Minnesota VikingsVChicago Bears,MIN,Justin Jefferson,WR,0,0,0,0,8,0,135,0,0,0,0,0,0,0,0,0,0,0,17.5
2020,10,Minnesota VikingsVChicago Bears,MIN,Dalvin Cook,RB,0,0,0,96,4,0,16,0,0,0,0,0,0,0,0,0,0,0,13.2
2020,10,Minnesota VikingsVChicago Bears,CHI,Cordarrelle Patterson,WR,0,0,0,30,2,0,19,0,0,1,0,0,0,0,0,0,0,0,11.9
2020,10,Minnesota VikingsVChicago Bears,MIN,Dan Bailey,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8.0
2020,10,Minnesota VikingsVChicago Bears,CHI,Cairo Santos,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8.0
2020,10,Minnesota VikingsVChicago Bears,CHI,Allen Robinson,WR,0,0,0,0,6,0,43,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,10,Minnesota VikingsVChicago Bears,MIN,Kyle Rudolph,TE,0,0,0,0,4,0,63,0,1,0,0,0,0,0,0,0,0,0,6.3
2020,10,Minnesota VikingsVChicago Bears,CHI,Anthony Miller,WR,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,10,Minnesota VikingsVChicago Bears,CHI,Nick Foles,QB,0,106,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.44
2020,10,Minnesota VikingsVChicago Bears,MIN,Chad Beebe,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,10,Minnesota VikingsVChicago Bears,CHI,Ryan Nall,RB,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,10,Minnesota VikingsVChicago Bears,MIN,Tyler Conklin,TE,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,10,Minnesota VikingsVChicago Bears,CHI,Lamar Miller,RB,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,10,Minnesota VikingsVChicago Bears,MIN,C.J. Ham,RB,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,10,Minnesota VikingsVChicago Bears,CHI,Darnell Mooney,WR,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,10,Minnesota VikingsVChicago Bears,CHI,Cole Kmet,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,10,Minnesota VikingsVChicago Bears,CHI,Artavis Pierce,RB,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,10,Minnesota VikingsVChicago Bears,CHI,Tyler Bray,QB,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72
2020,10,Minnesota VikingsVChicago Bears,MIN,Alexander Mattison,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,10,Minnesota VikingsVChicago Bears,MIN,Olabisi Johnson,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,Minnesota VikingsVChicago Bears,CHI,Jimmy Graham,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,Minnesota VikingsVChicago Bears,MIN,K.J. Osborn,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,Minnesota VikingsVChicago Bears,CHI,Dwayne Harris,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,Minnesota VikingsVChicago Bears,CHI,Demetrius Harris,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
