Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Alvin Kamara,RB,0,0,2,15,7,1,83,0,0,0,0,0,0,0,0,0,0,0,31.3
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Brandon Aiyuk,WR,0,0,0,-8,7,1,75,0,0,0,0,0,0,0,0,0,0,0,16.2
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Nick Mullens,QB,1,247,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12.18
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Wil Lutz,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,10.0
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Jordan Reed,TE,0,0,0,0,5,0,62,0,0,0,0,0,0,0,0,0,0,0,8.7
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Drew Brees,QB,1,76,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Latavius Murray,rb,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Jerick McKinnon,RB,0,0,0,33,1,0,13,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Kendrick Bourne,wr,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Michael Thomas,wr,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Austin Walter,RB,0,0,0,3,1,0,27,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Ross Dwelley,TE,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Taysom Hill,WR,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Deonte Harris,WR,0,0,0,0,4,0,24,0,1,0,0,0,0,0,0,0,0,0,2.4
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Jameis Winston,QB,0,63,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Richie James,WR,0,0,0,0,3,0,26,0,1,0,0,0,0,0,0,0,0,0,2.1
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Jamycal Hasty,RB,0,0,0,13,2,0,-4,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Emmanuel Sanders,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Kyle Juszczyk,FB,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,C.J. Beathard,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Jared Cook,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,San Francisco 49ersVNew Orleans Saints,NOR,Tre'Quan Smith,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,10,San Francisco 49ersVNew Orleans Saints,SFO,Ken Webster,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
