Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Kyler Murray,QB,2,269,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Russell Wilson,QB,2,197,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Tyler Lockett,WR,0,0,0,0,9,1,67,0,0,0,0,0,0,0,0,0,0,0,17.2
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Carlos Hyde,RB,0,0,1,79,2,0,16,0,0,0,0,0,0,0,0,0,0,0,16.5
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Kenyan Drake,RB,0,0,1,29,4,0,31,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Chase Edmonds,RB,0,0,0,13,4,1,36,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,D.K. Metcalf,WR,0,0,0,0,3,1,46,0,0,0,0,0,0,0,0,0,0,0,12.1
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Larry Fitzgerald,WR,0,0,0,0,8,0,62,0,0,0,0,0,0,0,0,0,0,0,10.2
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,9.0
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,DeAndre Hopkins,WR,0,0,0,0,5,0,51,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Christian Kirk,WR,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,7.0
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Dan Arnold,te,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,DeeJay Dallas,RB,0,0,0,13,2,0,19,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Maxx Williams,TE,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Bo Scarbrough,RB,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Greg Olsen,TE,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,3.0
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Zane Gonzalez,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Jacob Hollister,te,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,Will Dissly,TE,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,David Moore,WR,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,11,Arizona CardinalsVSeattle Seahawks,ARI,Andy Isabella,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,11,Arizona CardinalsVSeattle Seahawks,SEA,D.J. Reed,RCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
