Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Detroit LionsVCarolina Panthers,CAR,D.J. Moore,WR,0,0,0,21,7,0,127,0,0,0,0,0,0,0,0,0,0,0,18.3
2020,11,Detroit LionsVCarolina Panthers,CAR,Curtis Samuel,WR,0,0,0,4,8,1,70,0,0,0,0,0,0,0,0,0,0,0,17.4
2020,11,Detroit LionsVCarolina Panthers,CAR,Mike Davis,RB,0,0,1,64,2,0,15,0,0,0,0,0,0,0,0,0,0,0,14.9
2020,11,Detroit LionsVCarolina Panthers,CAR,Phillip Walker,QB,1,258,0,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12.12
2020,11,Detroit LionsVCarolina Panthers,CAR,Joey Slye,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,10.0
2020,11,Detroit LionsVCarolina Panthers,DET,T.J. Hockenson,TE,0,0,0,0,4,0,68,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,11,Detroit LionsVCarolina Panthers,CAR,Robby Anderson,WR,0,0,0,0,7,0,46,0,0,0,0,0,0,0,0,0,0,0,8.1
2020,11,Detroit LionsVCarolina Panthers,DET,Matthew Stafford,QB,0,178,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62
2020,11,Detroit LionsVCarolina Panthers,DET,Marvin Jones,WR,0,0,0,0,4,0,51,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,11,Detroit LionsVCarolina Panthers,DET,Kerryon Johnson,RB,0,0,0,17,2,0,21,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,11,Detroit LionsVCarolina Panthers,DET,Marvin Hall,WR,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,11,Detroit LionsVCarolina Panthers,CAR,Rodney Smith,RB,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,11,Detroit LionsVCarolina Panthers,DET,Jamal Agnew,,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,11,Detroit LionsVCarolina Panthers,DET,Adrian Peterson,RB,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,11,Detroit LionsVCarolina Panthers,DET,Quintez Cephus,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,11,Detroit LionsVCarolina Panthers,DET,Jesse James,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,11,Detroit LionsVCarolina Panthers,CAR,Chris Manhertz,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Detroit LionsVCarolina Panthers,CAR,Alex Armah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Detroit LionsVCarolina Panthers,CAR,Pharoh Cooper,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Detroit LionsVCarolina Panthers,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
