Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Travis Kelce,TE,0,4,0,0,8,1,127,0,0,0,0,0,0,0,0,0,0,0,22.86
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Derek Carr,QB,3,275,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.6
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Patrick Mahomes,QB,2,348,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.52
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Tyreek Hill,WR,0,0,0,-2,11,1,102,0,0,0,0,0,0,0,0,0,0,0,21.5
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Clyde Edwards-Helaire,RB,0,0,2,69,1,0,8,0,0,0,0,0,0,0,0,0,0,0,20.2
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Darren Waller,TE,0,0,0,0,7,1,88,0,0,0,0,0,0,0,0,0,0,0,18.3
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Nelson Agholor,WR,0,0,0,0,6,1,88,0,0,0,0,0,0,0,0,0,0,0,17.8
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Josh Jacobs,RB,0,0,1,55,1,0,9,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Le'Veon Bell,RB,0,0,1,25,1,0,11,0,0,0,0,0,0,0,0,0,0,0,10.1
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Demarcus Robinson,WR,0,0,0,0,6,0,44,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,7.0
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Jason Witten,TE,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.6
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Hunter Renfrow,wr,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Darrel Williams,RB,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Byron Pringle,WR,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Devontae Booker,RB,0,0,0,16,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Zay Jones,WR,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,2.3
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Henry Ruggs III,WR,0,0,0,12,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Mecole Hardman,WR,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Derek Carrier,TE,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Alec Ingold,FB,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,11,Kansas City ChiefsVLas Vegas Raiders,KAN,Nick Keizer,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,11,Kansas City ChiefsVLas Vegas Raiders,LVR,Bryan Edwards,WR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
