Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Miami DolphinsVDenver Broncos,DEN,Melvin Gordon,RB,0,0,2,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.4
2020,11,Miami DolphinsVDenver Broncos,MIA,DeVante Parker,WR,0,0,0,0,6,1,61,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,11,Miami DolphinsVDenver Broncos,DEN,Tim Patrick,WR,0,0,0,0,5,0,119,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,11,Miami DolphinsVDenver Broncos,DEN,Drew Lock,QB,0,270,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.1
2020,11,Miami DolphinsVDenver Broncos,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10.0
2020,11,Miami DolphinsVDenver Broncos,MIA,Salvon Ahmed,RB,0,0,0,43,5,0,31,0,0,0,0,0,0,0,0,0,0,0,9.9
2020,11,Miami DolphinsVDenver Broncos,DEN,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,9.0
2020,11,Miami DolphinsVDenver Broncos,DEN,Phillip Lindsay,RB,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,11,Miami DolphinsVDenver Broncos,DEN,Noah Fant,TE,0,0,0,0,4,0,55,0,0,0,0,0,0,0,0,0,0,0,7.5
2020,11,Miami DolphinsVDenver Broncos,MIA,Tua Tagovailoa,QB,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32
2020,11,Miami DolphinsVDenver Broncos,MIA,Mike Gesicki,TE,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,11,Miami DolphinsVDenver Broncos,DEN,KJ Hamler,WR,0,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,11,Miami DolphinsVDenver Broncos,DEN,Jerry Jeudy,WR,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,11,Miami DolphinsVDenver Broncos,MIA,Ryan Fitzpatrick,qb,0,117,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.28
2020,11,Miami DolphinsVDenver Broncos,MIA,Malcolm Perry,WR,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,11,Miami DolphinsVDenver Broncos,DEN,Nick Vannett,TE,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,11,Miami DolphinsVDenver Broncos,MIA,Jakeem Grant,WR,0,0,0,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,11,Miami DolphinsVDenver Broncos,MIA,Antonio Callaway,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,11,Miami DolphinsVDenver Broncos,MIA,Mack Hollins,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,11,Miami DolphinsVDenver Broncos,MIA,Patrick Laird,RB,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,11,Miami DolphinsVDenver Broncos,MIA,Matt Breida,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,11,Miami DolphinsVDenver Broncos,MIA,Durham Smythe,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Miami DolphinsVDenver Broncos,DEN,Troy Fumagalli,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Miami DolphinsVDenver Broncos,DEN,Diontae Spencer,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
