Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Carson Wentz,QB,2,235,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16.4
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Dallas Goedert,TE,0,0,0,0,5,1,77,0,0,0,0,0,0,0,0,0,0,0,16.2
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Richard Rodgers,TE,0,0,0,0,2,1,48,0,0,0,0,0,0,0,0,0,0,0,11.8
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Nick Chubb,RB,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,9.0
2020,11,Philadelphia EaglesVCleveland Browns,CLE,KhaDarel Hodge,WR,0,0,0,0,3,0,73,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Kareem Hunt,RB,0,0,1,11,1,0,10,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Rashard Higgins,WR,0,0,0,0,3,0,65,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Miles Sanders,RB,0,0,0,66,3,0,15,0,1,0,0,0,0,0,0,0,0,0,7.6
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Jalen Reagor,WR,0,0,0,0,4,0,52,0,0,0,0,0,0,0,0,0,0,0,7.2
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Baker Mayfield,QB,0,204,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.06
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Boston Scott,RB,0,0,0,24,3,0,26,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6.0
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Austin Hooper,TE,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Jarvis Landry,WR,0,0,0,3,2,0,23,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Greg Ward,WR,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,2.4
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Travis Fulgham,WR,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Jalen Hurts,QB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,11,Philadelphia EaglesVCleveland Browns,PHI,Alshon Jeffery,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Philadelphia EaglesVCleveland Browns,CLE,David Njoku,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Philadelphia EaglesVCleveland Browns,CLE,Donovan Peoples-Jones,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Philadelphia EaglesVCleveland Browns,CLE,D'Ernest Johnson,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
