Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Ben Roethlisberger,QB,2,267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.68
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Diontae Johnson,WR,0,0,0,0,12,0,111,0,0,0,0,0,0,0,0,0,0,0,17.1
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Chase Claypool,WR,0,0,0,0,4,1,59,0,0,0,0,0,0,0,0,0,0,0,13.9
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Eric Ebron,TE,0,0,0,0,4,1,36,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,James Conner,RB,0,0,0,89,3,0,10,0,0,0,0,0,0,0,0,0,0,0,11.4
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,11.0
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,James Robinson,RB,0,0,0,73,2,0,21,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Benny Snell Jr.,RB,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,DJ Chark,WR,0,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,6.1
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Ray-Ray McCloud,WR,0,0,0,3,4,0,20,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Tyler Eifert,TE,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Chase McLaughlin,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,JuJu Smith-Schuster,WR,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Keelan Cole,WR,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Jake Luton,QB,0,151,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.04
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Devine Ozigbo,RB,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Chris Conley,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,James Washington,WR,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Ben Ellefson,TE,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Eric Saubert,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Anthony McFarland Jr.,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,11,Pittsburgh SteelersVJacksonville Jaguars,JAX,Dare Ogunbowale,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,11,Pittsburgh SteelersVJacksonville Jaguars,PIT,Mason Rudolph,QB,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
