Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Ryan Tannehill,QB,2,259,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22.86
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Derrick Henry,RB,0,0,1,133,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,19.7
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Mark Andrews,TE,0,0,0,0,5,1,96,0,0,0,0,0,0,0,0,0,0,0,18.1
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Lamar Jackson,QB,1,186,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.54
2020,11,Tennessee TitansVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,1,70,2,0,15,0,0,0,0,0,0,0,0,0,0,1,17.5
2020,11,Tennessee TitansVBaltimore Ravens,TEN,A.J. Brown,WR,0,0,0,0,4,1,62,0,0,0,0,0,0,0,0,0,0,0,14.2
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Corey Davis,WR,0,0,0,0,5,0,113,0,0,0,0,0,0,0,0,0,0,0,13.8
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Stephen Gostkowski,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,12.0
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,10.0
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Jonnu Smith,TE,0,0,0,0,4,1,20,0,0,0,0,0,0,0,0,0,0,0,10.0
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Anthony Firkser,TE,0,0,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Dez Bryant,WR,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Willie Snead,WR,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Cameron Batson,WR,0,0,0,4,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,11,Tennessee TitansVBaltimore Ravens,BAL,James Proche,WR,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Geoff Swaim,TE,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Nick Westbrook-Ikhine,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Patrick Ricard,,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Devin Duvernay,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Jeremy McNichols,RB,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Gus Edwards,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,11,Tennessee TitansVBaltimore Ravens,TEN,Logan Woodside,QB,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Mark Ingram,RB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,11,Tennessee TitansVBaltimore Ravens,TEN,D'Onta Foreman,RB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,11,Tennessee TitansVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
