Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Arizona CardinalsVNew England Patriots,ARI,Kenyan Drake,RB,0,0,2,78,3,0,15,0,0,0,0,0,0,0,0,0,0,0,22.8
2020,12,Arizona CardinalsVNew England Patriots,NWE,James White,RB,0,0,2,18,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,14.2
2020,12,Arizona CardinalsVNew England Patriots,NWE,Nick Folk,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,10.0
2020,12,Arizona CardinalsVNew England Patriots,ARI,Kyler Murray,QB,0,170,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.9
2020,12,Arizona CardinalsVNew England Patriots,ARI,DeAndre Hopkins,WR,0,0,0,0,5,0,55,0,0,0,0,0,0,0,0,0,0,0,8.0
2020,12,Arizona CardinalsVNew England Patriots,NWE,Jakobi Meyers,WR,0,0,0,0,5,0,52,0,0,0,0,0,0,0,0,0,0,0,7.7
2020,12,Arizona CardinalsVNew England Patriots,ARI,Chase Edmonds,RB,0,0,0,29,4,0,14,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,12,Arizona CardinalsVNew England Patriots,ARI,Zane Gonzalez,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6.0
2020,12,Arizona CardinalsVNew England Patriots,NWE,Cam Newton,QB,0,84,0,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.96
2020,12,Arizona CardinalsVNew England Patriots,ARI,Andy Isabella,WR,0,0,0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,12,Arizona CardinalsVNew England Patriots,NWE,Damiere Byrd,WR,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,12,Arizona CardinalsVNew England Patriots,NWE,Damien Harris,RB,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,12,Arizona CardinalsVNew England Patriots,ARI,Christian Kirk,WR,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,12,Arizona CardinalsVNew England Patriots,ARI,Dan Arnold,te,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,12,Arizona CardinalsVNew England Patriots,ARI,Maxx Williams,TE,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,12,Arizona CardinalsVNew England Patriots,ARI,KeeSean Johnson,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,12,Arizona CardinalsVNew England Patriots,NWE,Gunner Olszewski,WR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,12,Arizona CardinalsVNew England Patriots,NWE,Donte Moncrief,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Arizona CardinalsVNew England Patriots,NWE,N'Keal Harry,WR,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
