Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Marquise Brown,WR,0,0,0,0,4,1,85,0,0,0,0,0,0,0,0,0,0,0,16.5
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,JuJu Smith-Schuster,WR,0,0,0,0,8,1,37,0,0,0,0,0,0,0,0,0,0,0,13.7
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Ben Roethlisberger,QB,1,266,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.54
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Benny Snell Jr.,RB,0,0,0,60,3,0,33,0,0,0,0,0,0,0,0,0,0,0,10.8
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Eric Ebron,TE,0,0,0,0,7,0,54,0,0,0,0,0,0,0,0,0,0,0,8.9
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Trace McSorley,QB,1,77,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Diontae Johnson,WR,0,0,0,0,8,0,46,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Chase Claypool,WR,0,0,0,0,6,0,52,0,0,0,0,0,0,0,0,0,0,0,8.2
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7.0
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Gus Edwards,RB,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Robert Griffin III,QB,0,33,0,68,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.12
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Justice Hill,RB,0,0,0,35,2,0,5,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Devin Duvernay,WR,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Anthony McFarland Jr.,RB,0,0,0,9,1,0,17,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,James Washington,WR,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,James Proche,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Luke Willson,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Baltimore RavensVPittsburgh Steelers,BAL,Dez Bryant,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Baltimore RavensVPittsburgh Steelers,PIT,Ray-Ray McCloud,WR,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,-0.7
