Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Chicago BearsVGreen Bay Packers,GNB,Aaron Rodgers,QB,4,211,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64
2020,12,Chicago BearsVGreen Bay Packers,CHI,Allen Robinson,WR,0,0,0,0,8,2,74,0,0,0,0,0,0,0,0,0,0,0,23.4
2020,12,Chicago BearsVGreen Bay Packers,CHI,David Montgomery,RB,0,0,0,103,5,1,40,0,0,0,0,0,0,0,0,0,0,0,22.8
2020,12,Chicago BearsVGreen Bay Packers,CHI,Mitchell Trubisky,QB,3,242,0,10,0,0,0,2,1,0,0,0,0,0,0,0,0,1,20.68
2020,12,Chicago BearsVGreen Bay Packers,GNB,Robert Tonyan,TE,0,0,0,0,5,1,67,0,0,0,0,0,0,0,0,0,0,0,15.2
2020,12,Chicago BearsVGreen Bay Packers,GNB,Davante Adams,WR,0,0,0,0,6,1,61,0,0,0,0,0,0,0,0,0,0,0,15.1
2020,12,Chicago BearsVGreen Bay Packers,GNB,Jamaal Williams,RB,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,12,Chicago BearsVGreen Bay Packers,GNB,Allen Lazard,WR,0,0,0,0,4,1,23,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,12,Chicago BearsVGreen Bay Packers,GNB,Aaron Jones,RB,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
2020,12,Chicago BearsVGreen Bay Packers,GNB,Marcedes Lewis,TE,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,8.6
2020,12,Chicago BearsVGreen Bay Packers,CHI,Darnell Mooney,WR,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,1,6.9
2020,12,Chicago BearsVGreen Bay Packers,GNB,Equanimeous St. Brown,WR,0,0,0,7,2,0,39,0,0,0,0,0,0,0,0,0,0,0,5.6
2020,12,Chicago BearsVGreen Bay Packers,GNB,Mason Crosby,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5.0
2020,12,Chicago BearsVGreen Bay Packers,CHI,Cairo Santos,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5.0
2020,12,Chicago BearsVGreen Bay Packers,CHI,Jimmy Graham,TE,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,12,Chicago BearsVGreen Bay Packers,CHI,Anthony Miller,WR,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,12,Chicago BearsVGreen Bay Packers,CHI,Riley Ridley,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,12,Chicago BearsVGreen Bay Packers,CHI,Ryan Nall,RB,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,12,Chicago BearsVGreen Bay Packers,CHI,Cole Kmet,TE,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,12,Chicago BearsVGreen Bay Packers,GNB,Jace Sternberger,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,12,Chicago BearsVGreen Bay Packers,CHI,Cordarrelle Patterson,WR,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,12,Chicago BearsVGreen Bay Packers,GNB,Tim Boyle,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Chicago BearsVGreen Bay Packers,CHI,Demetrius Harris,te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Chicago BearsVGreen Bay Packers,CHI,J.P. Holtz,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
