Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Nick Chubb,RB,0,0,1,144,3,0,32,0,0,0,0,0,0,0,0,0,0,0,25.1
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,James Robinson,RB,0,0,1,128,5,0,31,0,0,0,0,0,0,0,0,0,0,0,24.4
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Jarvis Landry,WR,0,0,0,0,8,1,143,0,0,0,0,0,0,0,0,0,0,0,24.3
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Baker Mayfield,QB,2,258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Mike Glennon,qb,2,235,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Collin Johnson,WR,0,0,0,0,4,1,96,0,0,0,0,0,0,0,0,0,0,0,17.6
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,10.0
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Tyler Eifert,TE,0,0,0,0,3,1,16,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Aldrick Rosas,K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,9.0
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Austin Hooper,TE,0,0,0,0,2,1,13,0,0,0,0,0,0,0,0,0,0,0,8.3
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Kareem Hunt,rb,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Keelan Cole,wr,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,5.9
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Laviska Shenault Jr.,WR,0,0,0,6,3,0,31,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,KhaDarel Hodge,WR,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4.6
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,James O'Shaughnessy,TE,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Rashard Higgins,wr,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Stephen Carlson,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Taywan Taylor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Ben Ellefson,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Donovan Peoples-Jones,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,D'Ernest Johnson,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Trey Quinn,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Cleveland BrownsVJacksonville Jaguars,JAX,Nathan Cottrell,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Cleveland BrownsVJacksonville Jaguars,CLE,Harrison Bryant,TE,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,-0.2
