Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Houston TexansVDetroit Lions,HOU,Deshaun Watson,QB,4,318,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.12
2020,12,Houston TexansVDetroit Lions,HOU,Will Fuller,WR,0,0,0,0,6,2,171,0,0,0,0,0,0,0,0,0,0,0,32.1
2020,12,Houston TexansVDetroit Lions,DET,Adrian Peterson,RB,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5
2020,12,Houston TexansVDetroit Lions,DET,Matthew Stafford,QB,1,295,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.1
2020,12,Houston TexansVDetroit Lions,HOU,Duke Johnson,rb,0,0,0,37,3,1,43,0,0,0,0,0,0,0,0,0,0,0,15.5
2020,12,Houston TexansVDetroit Lions,DET,Mohamed Sanu,WR,0,0,0,0,4,1,32,0,0,0,0,0,0,0,0,0,0,1,13.2
2020,12,Houston TexansVDetroit Lions,DET,T.J. Hockenson,TE,0,0,0,0,5,0,89,0,0,0,0,0,0,0,0,0,0,0,11.4
2020,12,Houston TexansVDetroit Lions,HOU,Brandin Cooks,WR,0,0,0,0,5,0,85,0,0,0,0,0,0,0,0,0,0,0,11.0
2020,12,Houston TexansVDetroit Lions,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,10.0
2020,12,Houston TexansVDetroit Lions,DET,Kerryon Johnson,RB,0,0,0,46,4,0,52,0,1,0,0,0,0,0,0,0,0,0,9.8
2020,12,Houston TexansVDetroit Lions,DET,Marvin Jones,WR,0,0,0,0,6,0,48,0,0,0,0,0,0,0,0,0,0,0,7.8
2020,12,Houston TexansVDetroit Lions,HOU,C.J. Prosise,RB,0,0,0,12,1,1,2,0,1,0,0,0,0,0,0,0,0,0,5.9
2020,12,Houston TexansVDetroit Lions,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5.0
2020,12,Houston TexansVDetroit Lions,HOU,Keke Coutee,WR,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,1,4.7
2020,12,Houston TexansVDetroit Lions,DET,Quintez Cephus,WR,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,3.7
2020,12,Houston TexansVDetroit Lions,DET,Jonathan Williams,RB,0,0,0,5,4,0,21,0,1,0,0,0,0,0,0,0,0,0,2.6
2020,12,Houston TexansVDetroit Lions,DET,Marvin Hall,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,12,Houston TexansVDetroit Lions,DET,Jesse James,TE,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1.5
2020,12,Houston TexansVDetroit Lions,HOU,Jordan Akins,te,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,12,Houston TexansVDetroit Lions,DET,Jamal Agnew,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Houston TexansVDetroit Lions,HOU,Kahale Warring,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Houston TexansVDetroit Lions,DET,Jason Cabinda,ILB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
