Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Younghoe Koo,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,0,21.0
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Ito Smith,RB,0,0,1,65,4,0,10,0,0,0,0,0,0,0,0,0,0,0,15.5
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Matt Ryan,QB,2,185,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.9
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Calvin Ridley,WR,0,0,0,0,6,1,50,0,0,0,0,0,0,0,0,0,0,0,14.0
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Hunter Renfrow,wr,0,0,0,0,7,0,73,0,0,0,0,0,0,0,0,0,0,0,10.8
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Nelson Agholor,WR,0,0,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,0,7.9
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Brandon Powell,WR,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Henry Ruggs III,WR,0,0,0,-2,3,0,56,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Hayden Hurst,TE,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6.0
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Brian Hill,RB,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Russell Gage,WR,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Darren Waller,TE,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Josh Jacobs,RB,0,0,0,27,3,0,17,0,1,0,0,0,0,0,0,0,0,0,3.9
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Christian Blake,WR,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Bryan Edwards,WR,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Nathan Peterman,QB,0,25,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Olamide Zaccheaus,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Derek Carr,QB,0,215,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1.6
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Jaeden Graham,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Devontae Booker,RB,0,0,0,6,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Zay Jones,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Tony Brooks-James,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Keith Smith,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Las Vegas RaidersVAtlanta Falcons,LVR,Keisean Nixon,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,Las Vegas RaidersVAtlanta Falcons,ATL,Matt Schaub,QB,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
