Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Deebo Samuel,wr,0,0,0,0,11,0,133,0,0,0,0,0,0,0,0,0,0,0,18.8
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Cam Akers,RB,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Robert Woods,WR,0,0,0,8,7,0,80,0,0,0,0,0,0,0,0,0,0,0,12.3
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Matt Gay,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10.0
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Raheem Mostert,RB,0,0,1,43,2,0,0,0,1,0,0,0,0,0,0,0,0,0,9.3
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Nick Mullens,QB,0,252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.08
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Josh Reynolds,WR,0,0,0,0,5,0,40,0,0,0,0,0,0,0,0,0,0,0,6.5
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Cooper Kupp,WR,0,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Jared Goff,QB,0,198,0,11,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5.02
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Kendrick Bourne,wr,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Jerick McKinnon,RB,0,0,0,21,2,0,11,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Kyle Juszczyk,FB,0,0,0,8,2,0,24,0,0,0,0,0,0,0,0,0,0,0,4.2
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Richie James,WR,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Jordan Reed,TE,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Gerald Everett,te,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Jeff Wilson,RB,0,0,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Darrell Henderson,RB,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Tyler Higbee,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Malcolm Brown,RB,0,0,0,4,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0.9
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Ross Dwelley,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,12,San Francisco 49ersVLos Angeles Rams,SFO,Trent Taylor,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,12,San Francisco 49ersVLos Angeles Rams,LAR,Nsimba Webster,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
