Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,D.K. Metcalf,WR,0,0,0,0,10,0,177,0,0,0,0,0,0,0,0,0,0,0,22.7
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Carson Wentz,QB,2,215,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.8
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Dallas Goedert,TE,0,0,0,0,7,1,75,0,0,0,0,0,0,0,0,0,0,0,17.0
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,Russell Wilson,QB,1,230,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,Chris Carson,RB,0,0,1,41,2,0,18,0,0,0,0,0,0,0,0,0,0,0,12.9
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Richard Rodgers,TE,0,0,0,0,3,1,53,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,12.0
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Boston Scott,RB,0,0,0,7,5,0,40,0,0,0,0,0,0,0,0,0,0,0,7.2
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,David Moore,WR,0,0,0,1,3,1,-6,0,0,0,0,0,0,0,0,0,0,0,7.0
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Miles Sanders,RB,0,0,0,15,2,0,7,0,0,0,0,0,0,0,0,0,0,1,5.2
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Jake Elliott,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,Carlos Hyde,RB,0,0,0,22,2,0,7,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,Tyler Lockett,WR,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Travis Fulgham,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Jalen Reagor,WR,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Alshon Jeffery,WR,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,Jacob Hollister,te,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Greg Ward,WR,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,John Hightower,WR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Corey Clement,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,12,Seattle SeahawksVPhiladelphia Eagles,PHI,Jalen Hurts,QB,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24
2020,12,Seattle SeahawksVPhiladelphia Eagles,SEA,D.J. Reed,RCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
