Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Josh Allen,QB,4,375,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.1
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Cole Beasley,WR,0,0,0,0,9,1,130,0,0,0,0,0,0,0,0,0,0,0,23.5
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Nick Mullens,QB,3,316,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22.64
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Brandon Aiyuk,WR,0,0,0,0,5,1,95,0,0,0,0,0,0,0,0,0,0,0,18.0
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Gabriel Davis,WR,0,0,0,0,3,1,68,0,0,0,0,0,0,0,0,0,0,0,14.3
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Stefon Diggs,WR,0,0,0,0,10,0,92,0,0,0,0,0,0,0,0,0,0,0,14.2
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Dawson Knox,TE,0,0,0,0,4,1,27,0,0,0,0,0,0,0,0,0,0,0,10.7
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Jordan Reed,TE,0,0,0,0,3,1,32,0,0,0,0,0,0,0,0,0,0,0,10.7
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Deebo Samuel,wr,0,0,0,3,6,0,73,0,0,0,0,0,0,0,0,0,0,0,10.6
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Isaiah McKenzie,wr,0,0,0,0,2,1,31,0,0,0,0,0,0,0,0,0,0,0,10.1
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Tyler Bass,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,10.0
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Devin Singletary,RB,0,0,0,61,3,0,22,0,0,0,0,0,0,0,0,0,0,0,9.8
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Kyle Juszczyk,FB,0,0,0,5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Jeff Wilson,RB,0,0,0,47,2,0,12,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Kendrick Bourne,wr,0,0,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Raheem Mostert,RB,0,0,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Charlie Woerner,TE,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Ross Dwelley,TE,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,3.9
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Robbie Gould\g,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Zack Moss,RB,0,0,0,9,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Lee Smith,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Buffalo BillsVSan Francisco 49ers,BUF,Andre Roberts,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Richie James,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Buffalo BillsVSan Francisco 49ers,SFO,Tevin Coleman,RB,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1
