Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Lamar Jackson,QB,2,107,1,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.68
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Andy Dalton,QB,2,285,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.6
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Michael Gallup,WR,0,0,0,0,7,1,86,0,0,0,0,0,0,0,0,0,0,0,18.1
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Amari Cooper,WR,0,0,0,10,5,1,43,0,0,0,0,0,0,0,0,0,0,0,13.8
2020,13,Dallas CowboysVBaltimore Ravens,BAL,J.K. Dobbins,RB,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Marquise Brown,WR,0,0,0,0,5,1,39,0,0,0,0,0,0,0,0,0,0,0,12.4
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Ezekiel Elliott,RB,0,0,0,77,4,0,18,0,0,0,0,0,0,0,0,0,0,0,11.5
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Miles Boykin,WR,0,0,0,0,1,1,38,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Gus Edwards,RB,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,10.0
2020,13,Dallas CowboysVBaltimore Ravens,DAL,CeeDee Lamb,WR,0,0,0,0,6,0,46,0,0,0,0,0,0,0,0,0,0,0,7.6
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Dalton Schultz,TE,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,6.4
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Noah Brown,WR,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,5.5
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Greg Zuerlein,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.0
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Mark Ingram,RB,0,0,0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Tony Pollard,RB,0,0,0,22,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Patrick Ricard,,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Luke Willson,TE,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Justice Hill,RB,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,13,Dallas CowboysVBaltimore Ravens,DAL,Blake Bell,TE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,13,Dallas CowboysVBaltimore Ravens,BAL,Devin Duvernay,WR,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
