Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,Indianapolis ColtsVHouston Texans,IND,Jonathan Taylor,RB,0,0,0,91,3,1,44,0,0,0,0,0,0,0,0,0,0,0,21.0
2020,13,Indianapolis ColtsVHouston Texans,IND,T.Y. Hilton,WR,0,0,0,0,8,1,110,0,0,0,0,0,0,0,0,0,0,0,21.0
2020,13,Indianapolis ColtsVHouston Texans,HOU,Deshaun Watson,QB,0,341,1,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.44
2020,13,Indianapolis ColtsVHouston Texans,IND,Philip Rivers,QB,2,285,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2
2020,13,Indianapolis ColtsVHouston Texans,HOU,Keke Coutee,WR,0,0,0,0,8,0,141,0,0,0,0,0,0,0,0,0,0,0,18.1
2020,13,Indianapolis ColtsVHouston Texans,HOU,Chad Hansen,WR,0,0,0,0,5,0,101,0,0,0,0,0,0,0,0,0,0,0,12.6
2020,13,Indianapolis ColtsVHouston Texans,IND,Nyheim Hines,RB,0,0,1,10,3,0,22,0,0,0,0,0,0,0,0,0,0,0,10.7
2020,13,Indianapolis ColtsVHouston Texans,HOU,David Johnson,RB,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,13,Indianapolis ColtsVHouston Texans,HOU,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,10.0
2020,13,Indianapolis ColtsVHouston Texans,HOU,Brandin Cooks,WR,0,0,0,0,5,0,65,0,0,0,0,0,0,0,0,0,0,0,9.0
2020,13,Indianapolis ColtsVHouston Texans,IND,Michael Pittman Jr.,WR,0,0,0,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,13,Indianapolis ColtsVHouston Texans,IND,Rodrigo Blankenship,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7.0
2020,13,Indianapolis ColtsVHouston Texans,HOU,Duke Johnson,rb,0,0,0,8,6,0,24,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,13,Indianapolis ColtsVHouston Texans,IND,Mo Alie-Cox,te,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,13,Indianapolis ColtsVHouston Texans,IND,Jordan Wilkins,RB,0,0,0,12,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,13,Indianapolis ColtsVHouston Texans,HOU,Jordan Akins,te,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,13,Indianapolis ColtsVHouston Texans,IND,Jack Doyle,TE,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,13,Indianapolis ColtsVHouston Texans,IND,Zach Pascal,WR,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,13,Indianapolis ColtsVHouston Texans,IND,Trey Burton,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,13,Indianapolis ColtsVHouston Texans,IND,Jacoby Brissett,QB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2020,13,Indianapolis ColtsVHouston Texans,IND,Ashton Dulin,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Indianapolis ColtsVHouston Texans,HOU,Darren Fells,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Indianapolis ColtsVHouston Texans,HOU,Kahale Warring,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Indianapolis ColtsVHouston Texans,IND,Isaiah Rodgers,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Indianapolis ColtsVHouston Texans,IND,De'Michael Harris,WR,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3
