Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,Las Vegas RaidersVNew York Jets,LVR,Darren Waller,TE,0,0,0,0,13,2,200,0,0,0,0,0,0,0,0,0,0,0,38.5
2020,13,Las Vegas RaidersVNew York Jets,LVR,Derek Carr,QB,3,381,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.74
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Sam Darnold,QB,2,186,1,26,0,0,0,1,2,0,0,0,0,0,0,0,0,1,21.04
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Jamison Crowder,WR,0,0,0,0,5,2,47,0,0,0,0,0,0,0,0,0,0,0,19.2
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Ty Johnson,RB,0,0,1,104,2,0,13,0,0,0,0,0,0,0,0,0,0,0,18.7
2020,13,Las Vegas RaidersVNew York Jets,LVR,Henry Ruggs III,WR,0,0,0,0,3,1,84,0,1,0,0,0,0,0,0,0,0,0,13.9
2020,13,Las Vegas RaidersVNew York Jets,LVR,Daniel Carlson,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8.0
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Josh Adams,RB,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Denzel Mims,WR,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,1,7.0
2020,13,Las Vegas RaidersVNew York Jets,LVR,Hunter Renfrow,WR,0,0,0,0,4,0,47,0,0,0,0,0,0,0,0,0,0,0,6.7
2020,13,Las Vegas RaidersVNew York Jets,LVR,Nelson Agholor,WR,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,5.8
2020,13,Las Vegas RaidersVNew York Jets,LVR,Devontae Booker,RB,0,0,0,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Braxton Berrios,WR,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,4.3
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Ryan Griffin,TE,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,4.1
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Breshad Perriman,WR,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,2.7
2020,13,Las Vegas RaidersVNew York Jets,LVR,Jalen Richard,RB,0,0,0,11,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2.2
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Sergio Castillo,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.0
2020,13,Las Vegas RaidersVNew York Jets,LVR,Theo Riddick,RB,0,0,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,13,Las Vegas RaidersVNew York Jets,LVR,Alec Ingold,,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Frank Gore,RB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,13,Las Vegas RaidersVNew York Jets,LVR,Jason Witten,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Las Vegas RaidersVNew York Jets,LVR,Bryan Edwards,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Las Vegas RaidersVNew York Jets,LVR,Zay Jones,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Corey Ballentine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,Las Vegas RaidersVNew York Jets,NYJ,Daniel Brown,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
