Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Jared Goff,QB,1,351,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.14
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Dan Arnold,WR,0,0,0,0,2,2,61,0,0,0,0,0,0,0,0,0,0,0,19.1
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Kyler Murray,QB,3,173,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17.42
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Cam Akers,RB,0,0,1,72,1,0,22,0,0,0,0,0,0,0,0,0,0,0,15.9
2020,13,Los Angeles RamsVArizona Cardinals,ARI,DeAndre Hopkins,WR,0,0,0,0,8,1,52,0,0,0,0,0,0,0,0,0,0,0,15.2
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Darrell Henderson,RB,0,0,1,49,2,0,25,0,0,0,0,0,0,0,0,0,0,0,14.4
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Robert Woods,WR,0,0,0,0,10,0,85,0,0,0,0,0,0,0,0,0,0,0,13.5
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Kenyan Drake,RB,0,0,1,49,2,0,9,0,0,0,0,0,0,0,0,0,0,0,12.8
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Cooper Kupp,WR,0,0,0,0,8,0,73,0,0,0,0,0,0,0,0,0,0,0,11.3
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Tyler Higbee,TE,0,0,0,0,4,1,24,0,0,0,0,0,0,0,0,0,0,0,10.4
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Matt Gay,K,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,8.0
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Gerald Everett,TE,0,0,0,0,6,0,44,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Chase Edmonds,RB,0,0,0,28,2,0,15,0,0,0,0,0,0,0,0,0,0,0,5.3
2020,13,Los Angeles RamsVArizona Cardinals,ARI,KeeSean Johnson,WR,0,0,0,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Van Jefferson,WR,0,0,0,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Zane Gonzalez,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Malcolm Brown,RB,0,0,0,-3,1,0,30,0,0,0,0,0,0,0,0,0,0,0,3.2
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Josh Reynolds,WR,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Andy Isabella,WR,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1.7
2020,13,Los Angeles RamsVArizona Cardinals,ARI,Christian Kirk,WR,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7
2020,13,Los Angeles RamsVArizona Cardinals,LAR,Nsimba Webster,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
