Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Cam Newton,QB,1,69,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Gunner Olszewski,WR,0,0,0,0,1,1,38,0,0,0,1,0,0,0,0,0,0,0,16.3
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Damien Harris,RB,0,0,0,80,1,0,15,0,0,0,0,0,0,0,0,0,0,0,10.0
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Nick Folk,K,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,9.0
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Austin Ekeler,RB,0,0,0,36,4,0,32,0,0,0,0,0,0,0,0,0,0,0,8.8
2020,13,New England PatriotsVLos Angeles Chargers,NWE,N'Keal Harry,WR,0,0,0,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,8.5
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Keenan Allen,WR,0,0,0,0,5,0,48,0,0,0,0,0,0,0,0,0,0,0,7.3
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Justin Herbert,QB,0,209,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.36
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Mike Williams,WR,0,0,0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Sony Michel,rb,0,0,0,35,1,0,23,0,0,0,0,0,0,0,0,0,0,0,6.3
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Jarrett Stidham,QB,1,61,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Kalen Ballage,RB,0,0,0,34,3,0,5,0,0,0,0,0,0,0,0,0,0,0,5.4
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Jalen Guyton,WR,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Donald Parham,te,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,3.1
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Damiere Byrd,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Jakobi Meyers,WR,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,13,New England PatriotsVLos Angeles Chargers,NWE,James White,RB,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Joshua Kelley,RB,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,13,New England PatriotsVLos Angeles Chargers,LAC,K.J. Hill,WR,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Ryan Izzo,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Stephen Anderson,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Hunter Henry,TE,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Jakob Johnson,FB,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Tyron Johnson,WR,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,13,New England PatriotsVLos Angeles Chargers,NWE,Donte Moncrief,WR,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Nasir Adderley,FS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,New England PatriotsVLos Angeles Chargers,LAC,Michael Badgley,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
