Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,13,New York GiantsVSeattle Seahawks,SEA,Chris Carson,RB,0,0,0,65,3,1,45,0,0,0,0,0,0,0,0,0,0,0,18.5
2020,13,New York GiantsVSeattle Seahawks,NYG,Alfred Morris,RB,0,0,1,39,1,1,6,0,0,0,0,0,0,0,0,0,0,0,17.0
2020,13,New York GiantsVSeattle Seahawks,SEA,Russell Wilson,QB,1,263,0,45,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16.02
2020,13,New York GiantsVSeattle Seahawks,NYG,Wayne Gallman,RB,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
2020,13,New York GiantsVSeattle Seahawks,SEA,D.K. Metcalf,WR,0,0,0,0,5,0,80,0,0,0,0,0,0,0,0,0,0,0,10.5
2020,13,New York GiantsVSeattle Seahawks,NYG,Colt McCoy,QB,1,105,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.4
2020,13,New York GiantsVSeattle Seahawks,SEA,Tyler Lockett,WR,0,0,0,0,6,0,63,0,0,0,0,0,0,0,0,0,0,0,9.3
2020,13,New York GiantsVSeattle Seahawks,NYG,Evan Engram,TE,0,0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,5.2
2020,13,New York GiantsVSeattle Seahawks,NYG,Golden Tate,WR,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,13,New York GiantsVSeattle Seahawks,SEA,Will Dissly,TE,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,4.8
2020,13,New York GiantsVSeattle Seahawks,NYG,Sterling Shepard,WR,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,1,4.7
2020,13,New York GiantsVSeattle Seahawks,NYG,Graham Gano,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
2020,13,New York GiantsVSeattle Seahawks,SEA,Jason Myers,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.0
2020,13,New York GiantsVSeattle Seahawks,SEA,Jacob Hollister,te,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,13,New York GiantsVSeattle Seahawks,SEA,Carlos Hyde,RB,0,0,0,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,13,New York GiantsVSeattle Seahawks,SEA,DeeJay Dallas,RB,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2.1
2020,13,New York GiantsVSeattle Seahawks,NYG,Darius Slayton,WR,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1.9
2020,13,New York GiantsVSeattle Seahawks,SEA,David Moore,WR,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
2020,13,New York GiantsVSeattle Seahawks,NYG,Kaden Smith,TE,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,13,New York GiantsVSeattle Seahawks,NYG,Elijhaa Penny,RB,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2020,13,New York GiantsVSeattle Seahawks,NYG,Dion Lewis,RB,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,13,New York GiantsVSeattle Seahawks,NYG,C.J. Board,WR,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,13,New York GiantsVSeattle Seahawks,SEA,Freddie Swain,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,13,New York GiantsVSeattle Seahawks,SEA,D.J. Reed,RCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
