Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Calvin Ridley,WR,0,0,0,0,8,1,124,0,0,0,0,0,0,0,0,0,0,0,22.4
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Austin Ekeler,RB,0,0,0,79,9,0,67,0,0,0,0,0,0,0,0,0,0,0,19.1
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Justin Herbert,QB,2,243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.72
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Russell Gage,WR,1,39,0,0,5,0,82,0,0,0,0,0,0,0,0,0,0,0,16.26
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Keenan Allen,WR,0,0,0,0,9,1,52,0,0,0,0,0,0,0,0,0,0,0,15.7
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Tyron Johnson,WR,0,0,0,0,6,1,55,0,0,0,0,0,0,0,0,0,0,0,14.5
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Matt Ryan,QB,1,224,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.26
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Michael Badgley,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,9.0
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Laquon Treadwell,WR,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Hunter Henry,TE,0,0,0,0,6,0,41,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Younghoe Koo,K,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6.0
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Ito Smith,RB,0,0,0,42,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5.0
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Todd Gurley,RB,0,0,0,19,2,0,12,0,0,0,0,0,0,0,0,0,0,0,4.1
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Justin Jackson,RB,0,0,0,9,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3.4
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Kalen Ballage,RB,0,0,0,14,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2.5
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Brian Hill,RB,0,0,0,3,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Brandon Powell,WR,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1.4
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Jalen Guyton,WR,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1.3
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Jaeden Graham,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Hayden Hurst,TE,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1.2
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,K.J. Hill,WR,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9
2020,14,Atlanta FalconsVLos Angeles Chargers,ATL,Keith Smith,,0,0,0,3,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.6
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Gabe Nabers,RB,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2020,14,Atlanta FalconsVLos Angeles Chargers,LAC,Nasir Adderley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
