Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,Baltimore RavensVCleveland Browns,BAL,Lamar Jackson,QB,1,163,2,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.92
2020,14,Baltimore RavensVCleveland Browns,CLE,Baker Mayfield,QB,2,343,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31.02
2020,14,Baltimore RavensVCleveland Browns,CLE,Kareem Hunt,rb,0,0,1,33,6,1,77,0,0,0,0,0,0,0,0,0,0,0,26.0
2020,14,Baltimore RavensVCleveland Browns,CLE,Nick Chubb,RB,0,0,2,82,2,0,21,0,0,0,0,0,0,0,0,0,0,0,23.3
2020,14,Baltimore RavensVCleveland Browns,BAL,Gus Edwards,rb,0,0,2,49,1,0,4,0,0,0,0,0,0,0,0,0,0,0,17.8
2020,14,Baltimore RavensVCleveland Browns,CLE,Rashard Higgins,wr,0,0,0,0,6,1,68,0,0,0,0,0,0,0,0,0,0,0,15.8
2020,14,Baltimore RavensVCleveland Browns,BAL,J.K. Dobbins,RB,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.3
2020,14,Baltimore RavensVCleveland Browns,BAL,Marquise Brown,WR,0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,12.0
2020,14,Baltimore RavensVCleveland Browns,CLE,Donovan Peoples-Jones,WR,0,0,0,0,3,0,74,0,0,0,0,0,0,0,0,0,0,1,10.9
2020,14,Baltimore RavensVCleveland Browns,BAL,Mark Andrews,TE,0,0,0,0,5,0,78,0,0,0,0,0,0,0,0,0,0,0,10.3
2020,14,Baltimore RavensVCleveland Browns,BAL,Justin Tucker,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,9.0
2020,14,Baltimore RavensVCleveland Browns,CLE,Jarvis Landry,WR,0,12,0,0,6,0,52,0,0,0,0,0,0,0,0,0,0,0,8.68
2020,14,Baltimore RavensVCleveland Browns,CLE,David Njoku,te,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,6.0
2020,14,Baltimore RavensVCleveland Browns,BAL,Willie Snead,WR,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,4.4
2020,14,Baltimore RavensVCleveland Browns,CLE,Cody Parkey,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.0
2020,14,Baltimore RavensVCleveland Browns,CLE,Harrison Bryant,TE,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,14,Baltimore RavensVCleveland Browns,BAL,Miles Boykin,WR,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,14,Baltimore RavensVCleveland Browns,BAL,Trace McSorley,QB,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62
2020,14,Baltimore RavensVCleveland Browns,BAL,Justice Hill,RB,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2020,14,Baltimore RavensVCleveland Browns,CLE,Andy Janovich,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Baltimore RavensVCleveland Browns,BAL,Devin Duvernay,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Baltimore RavensVCleveland Browns,CLE,D'Ernest Johnson,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
