Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Andy Dalton,QB,2,185,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3
2020,14,Dallas CowboysVCincinnati Bengals,CIN,A.J. Green,WR,0,0,0,0,6,1,62,0,0,0,0,0,0,0,0,0,0,0,15.2
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Greg Zuerlein,K,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,14.0
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Brandon Allen,QB,1,217,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Amari Cooper,WR,0,0,0,0,4,1,51,0,0,0,0,0,0,0,0,0,0,0,13.1
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Tony Pollard,RB,0,0,0,39,2,1,9,0,0,0,0,0,0,0,0,0,0,0,11.8
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Tee Higgins,WR,0,0,0,0,5,0,49,0,0,0,0,0,0,0,0,0,0,0,7.4
2020,14,Dallas CowboysVCincinnati Bengals,DAL,CeeDee Lamb,WR,0,0,0,15,2,0,46,0,0,0,0,0,0,0,0,0,0,0,7.1
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Ezekiel Elliott,RB,0,0,0,48,2,0,11,0,0,0,0,0,0,0,0,0,0,0,6.9
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Tyler Boyd,WR,0,0,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Trayveon Williams,RB,0,0,0,49,3,0,14,0,1,0,0,0,0,0,0,0,0,0,5.8
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Samaje Perine,RB,0,0,0,32,2,0,9,0,0,0,0,0,0,0,0,0,0,0,5.1
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Dalton Schultz,TE,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,4.9
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Drew Sample,TE,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Michael Gallup,WR,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,3.3
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Giovani Bernard,RB,0,0,0,8,3,0,15,0,1,0,0,0,0,0,0,0,0,0,1.8
2020,14,Dallas CowboysVCincinnati Bengals,DAL,Blake Bell,TE,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1.6
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Austin Seibert,K,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Ryan Finley,QB,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Mike Thomas,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Dallas CowboysVCincinnati Bengals,CIN,Alex Erickson,WR,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,-0.6
