Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,Green Bay PackersVDetroit Lions,GNB,Aaron Rodgers,QB,3,290,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9
2020,14,Green Bay PackersVDetroit Lions,GNB,Davante Adams,WR,0,0,0,0,7,1,115,0,0,0,0,0,0,0,0,0,0,0,21.0
2020,14,Green Bay PackersVDetroit Lions,GNB,Marquez Valdes-Scantling,WR,0,0,0,0,6,1,85,0,0,0,0,0,0,0,0,0,0,0,17.5
2020,14,Green Bay PackersVDetroit Lions,DET,Matthew Stafford,QB,1,244,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36
2020,14,Green Bay PackersVDetroit Lions,DET,T.J. Hockenson,TE,0,0,0,0,6,1,43,0,0,0,0,0,0,0,0,0,0,0,13.3
2020,14,Green Bay PackersVDetroit Lions,DET,D'Andre Swift,RB,0,0,1,24,4,0,26,0,0,0,0,0,0,0,0,0,0,0,13.0
2020,14,Green Bay PackersVDetroit Lions,GNB,Robert Tonyan,TE,0,0,0,0,5,1,36,0,0,0,0,0,0,0,0,0,0,0,12.1
2020,14,Green Bay PackersVDetroit Lions,DET,Danny Amendola,WR,0,0,0,0,6,0,66,0,0,0,0,0,0,0,0,0,0,0,9.6
2020,14,Green Bay PackersVDetroit Lions,GNB,Mason Crosby,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,9.0
2020,14,Green Bay PackersVDetroit Lions,GNB,Aaron Jones,RB,0,0,0,69,2,0,6,0,0,0,0,0,0,0,0,0,0,0,8.5
2020,14,Green Bay PackersVDetroit Lions,DET,Kerryon Johnson,RB,0,0,1,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7.8
2020,14,Green Bay PackersVDetroit Lions,DET,Marvin Jones,WR,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,6.8
2020,14,Green Bay PackersVDetroit Lions,DET,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6.0
2020,14,Green Bay PackersVDetroit Lions,DET,Mohamed Sanu,WR,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,14,Green Bay PackersVDetroit Lions,GNB,Jamaal Williams,RB,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
2020,14,Green Bay PackersVDetroit Lions,DET,Adrian Peterson,RB,0,0,0,7,1,0,23,0,0,0,0,0,0,0,0,0,0,0,3.5
2020,14,Green Bay PackersVDetroit Lions,GNB,Allen Lazard,WR,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,14,Green Bay PackersVDetroit Lions,DET,Quintez Cephus,WR,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,2.6
2020,14,Green Bay PackersVDetroit Lions,DET,Jamal Agnew,,0,0,0,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,14,Green Bay PackersVDetroit Lions,GNB,Equanimeous St. Brown,WR,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,2.0
2020,14,Green Bay PackersVDetroit Lions,GNB,Tavon Austin,WR,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,14,Green Bay PackersVDetroit Lions,DET,Chase Daniel,QB,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16
2020,14,Green Bay PackersVDetroit Lions,GNB,Marcedes Lewis,TE,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1.1
