Season,Week,Game,Team,Name,Position,PassTD,PassYD,RushTD,RushYD,Receptions,RecTD,RecYD,INT,FUM/L,KRTD,PRTD,XP,FG0-19,FG20-29,FG30-39,FG40-49,FG50+,2PC,Fantasy Points
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Tua Tagovailoa,QB,2,316,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.04
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Tyreek Hill,WR,0,0,1,32,3,1,79,0,0,0,0,0,0,0,0,0,0,0,24.6
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Travis Kelce,TE,0,0,0,0,8,1,136,0,0,0,0,0,0,0,0,0,0,0,23.6
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Patrick Mahomes,QB,2,393,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21.62
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Mike Gesicki,TE,0,0,0,0,5,2,65,0,0,0,0,0,0,0,0,0,0,0,21.0
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Lynn Bowden Jr.,WR,0,0,0,2,7,0,82,0,0,0,0,0,0,0,0,0,0,0,11.9
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Clyde Edwards-Helaire,RB,0,0,0,32,5,0,59,0,0,0,0,0,0,0,0,0,0,0,11.6
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Jason Sanders,K,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,10.0
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Mecole Hardman,WR,0,0,0,0,3,0,40,0,1,0,1,0,0,0,0,0,0,0,9.5
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Mack Hollins,WR,0,0,0,0,5,0,66,0,0,0,0,0,0,0,0,0,0,0,9.1
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Harrison Butker,K,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8.0
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Sammy Watkins,WR,0,0,0,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,DeAndre Washington,RB,0,0,0,35,2,0,17,0,0,0,0,0,0,0,0,0,0,0,6.2
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Jakeem Grant,WR,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,4.7
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Le'Veon Bell,RB,0,0,0,21,2,0,14,0,0,0,0,0,0,0,0,0,0,0,4.5
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Adam Shaheen,TE,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,3.6
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Durham Smythe,TE,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,2.9
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Patrick Laird,RB,0,0,0,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2.8
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Demarcus Robinson,WR,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1.8
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Malcolm Perry,WR,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0
2020,14,Kansas City ChiefsVMiami Dolphins,KAN,Anthony Sherman,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,DeVante Parker,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2020,14,Kansas City ChiefsVMiami Dolphins,MIA,Antonio Callaway,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
